,tissue
GTEX-139T6-0826-SM-5J1O2,ESOPHAGUS
GTEX-R55E-0011-R8A-SM-2TC66,BRAIN
GTEX-OHPM-0726-SM-3LK7A,ESOPHAGUS
GTEX-XUW1-0126-SM-4BOOQ,OVARY
GTEX-WXYG-1226-SM-4ONCJ,ESOPHAGUS
GTEX-ZU9S-1626-SM-5E452,ESOPHAGUS
GTEX-QDT8-2926-SM-32PKC,BRAIN
GTEX-T6MO-0426-SM-32QOI,LUNG
GTEX-QCQG-0326-SM-2I3ES,LUNG
GTEX-131XG-1226-SM-5EGH9,STOMACH
GTEX-QDVJ-1726-SM-2I5FX,SKIN
GTEX-144GL-0726-SM-5LU4P,TESTIS
GTEX-13VXU-0011-R6a-SM-5SI71,BRAIN
GTEX-1211K-1426-SM-5FQTF,STOMACH
GTEX-N7MS-0011-R6a-SM-2HMJ4,BRAIN
GTEX-PLZ6-0526-SM-3P61C,ESOPHAGUS
GTEX-13X6H-1326-SM-5LU42,ESOPHAGUS
GTEX-XUZC-0126-SM-4BOO6,THYROID
GTEX-14E1K-1226-SM-5S2PD,ESOPHAGUS
GTEX-X4EP-0011-R4B-SM-3P627,BRAIN
GTEX-ZF29-1926-SM-5S2P1,BREAST
GTEX-Y8DK-0011-R1A-SM-4RGLO,BRAIN
GTEX-W5X1-0526-SM-3GILH,LUNG
GTEX-13O3O-0726-SM-5J1N7,LUNG
GTEX-139T8-0011-R1a-SM-5HL75,BRAIN
GTEX-ZWKS-2826-SM-5NQ74,BREAST
GTEX-1339X-0826-SM-5J2O6,ADRENAL GLAND
GTEX-TSE9-2626-SM-4DXV2,UTERUS
GTEX-ZTTD-2726-SM-57WFA,PROSTATE
GTEX-X261-0011-R10B-SM-4E3JT,BRAIN
GTEX-13SLX-0011-R8b-SM-5PNWZ,BRAIN
GTEX-131XW-0726-SM-5EGK3,BREAST
GTEX-POYW-0826-SM-2XCEM,THYROID
GTEX-ZVT3-0011-R8b-SM-57WDJ,BRAIN
GTEX-WFON-1126-SM-4LVMA,STOMACH
GTEX-11OF3-0726-SM-5BC4Z,LIVER
GTEX-13PVQ-1526-SM-5IFEQ,LIVER
GTEX-SJXC-1226-SM-4DM78,LIVER
GTEX-12WSJ-0126-SM-5GCOM,ADRENAL GLAND
GTEX-139T4-0226-SM-5HL5S,SKIN
GTEX-QV31-0226-SM-447BO,PANCREAS
GTEX-133LE-1226-SM-5IFGC,OVARY
GTEX-UJMC-0926-SM-4IHLK,ESOPHAGUS
GTEX-13IVO-0726-SM-5LZYV,SKIN
GTEX-145LU-2126-SM-5Q5E9,PROSTATE
GTEX-YEC3-1026-SM-5IFI5,BREAST
GTEX-11LCK-1726-SM-5S2OQ,ESOPHAGUS
GTEX-SNMC-1226-SM-2XCFP,SKIN
GTEX-12WSJ-0226-SM-5GCP7,LUNG
GTEX-WL46-2826-SM-3LK81,BRAIN
GTEX-131XH-0011-R11a-SM-5EGLN,BRAIN
GTEX-T6MN-2026-SM-5S2T6,TESTIS
GTEX-ZYFG-1126-SM-5GICY,ESOPHAGUS
GTEX-N7MT-1226-SM-26GMT,BRAIN
GTEX-12WSD-3126-SM-5HL7P,BRAIN
GTEX-ZAB4-1226-SM-5CVN5,ESOPHAGUS
GTEX-U3ZH-1526-SM-4DXV1,TESTIS
GTEX-R3RS-0626-SM-48FE1,BREAST
GTEX-12WSA-0011-R8a-SM-5P9EX,BRAIN
GTEX-RVPU-0011-R4A-SM-2TF6X,BRAIN
GTEX-ZE7O-0011-R1a-SM-57WDM,BRAIN
GTEX-ZDTT-1226-SM-4WKG9,ESOPHAGUS
GTEX-113IC-0008-SM-5QGRF,SKIN
GTEX-13RTJ-0011-R2a-SM-5PNW9,BRAIN
GTEX-ZF28-0826-SM-4WKGJ,THYROID
GTEX-Y8LW-1026-SM-5IFJY,PANCREAS
GTEX-VUSG-2326-SM-4KL1U,SKIN
GTEX-1122O-1726-SM-5GICM,ESOPHAGUS
GTEX-13FTZ-0011-R10b-SM-5KLZS,BRAIN
GTEX-NPJ7-2726-SM-2I3FT,BRAIN
K-562-SM-3NB3I,BONE MARROW
GTEX-X4XY-0008-SM-46MVL,SKIN
GTEX-SIU8-0926-SM-5SI87,LUNG
GTEX-S3XE-1726-SM-3K2AM,SKIN
GTEX-ZV7C-1326-SM-51MSH,ESOPHAGUS
GTEX-13O3O-0011-R7b-SM-5P9GZ,BRAIN
GTEX-13FHO-0011-R3b-SM-5K7YA,BRAIN
GTEX-OOBJ-0826-SM-3NB2K,LIVER
GTEX-OIZG-0526-SM-2HMLF,LUNG
GTEX-13PDP-2926-SM-5N9E8,BRAIN
GTEX-ZAK1-3026-SM-5S2MJ,BRAIN
GTEX-UPIC-1626-SM-4IHKT,SKIN
GTEX-ZDTT-2026-SM-5K7TY,TESTIS
GTEX-13FTW-0526-SM-5IFIP,PANCREAS
GTEX-1269C-3126-SM-5EGI6,BRAIN
GTEX-YF7O-1526-SM-5IFI6,SKIN
GTEX-QVJO-1826-SM-447C9,BREAST
GTEX-ZY6K-1726-SM-5GZX8,TESTIS
GTEX-XPT6-0008-SM-4B64Q,SKIN
GTEX-13FLV-0011-R6a-SM-5KLZ4,BRAIN
GTEX-QLQW-1026-SM-447A9,TESTIS
GTEX-R55G-2526-SM-2TC6D,SKIN
GTEX-ZVTK-0126-SM-57WDG,TESTIS
GTEX-S7SF-0926-SM-4AD4M,ESOPHAGUS
GTEX-14A5I-2126-SM-5NQA8,ADRENAL GLAND
GTEX-11WQC-0011-R10a-SM-57WCT,BRAIN
GTEX-13OW7-0011-R4b-SM-5O9CX,BRAIN
GTEX-ZV7C-1326-SM-5BC7G,ESOPHAGUS
GTEX-P4QS-2026-SM-3NMCG,PROSTATE
GTEX-11XUK-0126-SM-5CVLK,ADRENAL GLAND
GTEX-UPK5-1326-SM-4IHLE,ESOPHAGUS
GTEX-14DAR-2026-SM-5S2O3,SKIN
GTEX-R55F-0008-SM-48FE6,SKIN
GTEX-S7SF-0826-SM-4AD4W,UTERUS
GTEX-13FHP-0726-SM-5K7YI,LUNG
GTEX-13FTZ-0526-SM-5IJCW,LUNG
K-562-SM-4YCCQ,BONE MARROW
GTEX-1212Z-2026-SM-5N9EA,ESOPHAGUS
GTEX-12WSB-2226-SM-5GCOS,OVARY
GTEX-OXRP-0526-SM-2I3EW,LUNG
GTEX-ZE7O-0011-R11a-SM-57WBC,BRAIN
GTEX-139YR-1026-SM-5LZYN,SKIN
GTEX-Y5V6-1026-SM-4VBS2,ESOPHAGUS
GTEX-13N2G-0726-SM-5MR38,THYROID
GTEX-11GS4-3126-SM-5A5LH,BRAIN
GTEX-ZXES-1426-SM-5NQ8S,STOMACH
GTEX-ZE7O-2726-SM-51MT5,SKIN
GTEX-OHPL-2426-SM-48TDN,OVARY
GTEX-12WSL-1526-SM-5GCP8,ESOPHAGUS
GTEX-11GS4-0226-SM-5HL77,SKIN
GTEX-11P7K-0626-SM-5985Z,PROSTATE
GTEX-Y9LG-1026-SM-5IFJN,STOMACH
GTEX-WWYW-0011-R1A-SM-3TW8G,BRAIN
GTEX-11WQC-0011-R7b-SM-5BC7A,BRAIN
GTEX-12WSM-0011-R11a-SM-5DUX8,BRAIN
GTEX-131XH-0011-R3b-SM-5DUWM,BRAIN
GTEX-NFK9-0226-SM-2HMKQ,SKIN
GTEX-WFJO-0226-SM-3GIKW,THYROID
GTEX-X4XY-1726-SM-46MVO,ESOPHAGUS
GTEX-X4EP-0011-R2B-SM-3P625,BRAIN
GTEX-13RTJ-0011-R9a-SM-5Q5AY,BRAIN
GTEX-ZF2S-1326-SM-4WWAZ,ESOPHAGUS
GTEX-ZYT6-0526-SM-5GIEA,LUNG
GTEX-13G51-2526-SM-5LZYK,SKIN
GTEX-OHPJ-0526-SM-2HMJR,THYROID
GTEX-11TTK-0126-SM-5987B,SKIN
GTEX-WHWD-0726-SM-4OORX,PANCREAS
GTEX-13OW8-0011-R5b-SM-5L3FQ,BRAIN
GTEX-QMRM-1626-SM-4R1KV,BREAST
GTEX-XUJ4-1326-SM-4BOQ9,OVARY
GTEX-ZF28-0126-SM-4WKGK,SKIN
GTEX-S4P3-0226-SM-3K2BD,THYROID
GTEX-U3ZM-1626-SM-4DXSK,TESTIS
GTEX-XGQ4-1626-SM-4AT6J,ESOPHAGUS
GTEX-1399S-0426-SM-5IFG5,ADRENAL GLAND
GTEX-ZAB5-0626-SM-5PNVB,LUNG
GTEX-PSDG-1626-SM-48TCQ,BREAST
GTEX-11EM3-0126-SM-5985K,THYROID
K-562-SM-4B66B,BONE MARROW
GTEX-U3ZH-0008-SM-4DXT2,SKIN
GTEX-13OVL-0011-R11b-SM-5L3G7,BRAIN
GTEX-ZUA1-2626-SM-5NQ92,SKIN
GTEX-12ZZZ-0011-R5a-SM-5EQ4M,BRAIN
GTEX-U3ZG-0008-SM-47JWL,SKIN
GTEX-Q2AI-1226-SM-48U14,TESTIS
K-562-SM-4TT1D,BONE MARROW
GTEX-ZXG5-0011-R5b-SM-57WBN,BRAIN
GTEX-VJWN-0126-SM-3GIK7,SKIN
GTEX-ZPU1-2126-SM-57WED,TESTIS
GTEX-PLZ6-0008-SM-48TD5,SKIN
GTEX-QEL4-1426-SM-447AC,ESOPHAGUS
GTEX-13JVG-0011-R3b-SM-5LZXF,BRAIN
GTEX-144GL-3026-SM-5Q5CW,BRAIN
GTEX-W5WG-0826-SM-4RGNE,PANCREAS
GTEX-QLQW-0326-SM-447A8,PANCREAS
GTEX-QVJO-0011-R5A-SM-2S1QM,BRAIN
GTEX-S32W-0726-SM-5S2T3,THYROID
GTEX-TMMY-1626-SM-4DXTY,STOMACH
GTEX-11I78-0526-SM-5986A,THYROID
GTEX-O5YU-0008-SM-4E3I7,SKIN
GTEX-XYKS-0826-SM-4BRVF,THYROID
GTEX-X3Y1-2726-SM-4PQZH,LIVER
GTEX-WEY5-2326-SM-3GIKK,SKIN
GTEX-11H98-0008-SM-5QGR8,SKIN
GTEX-13VXT-1826-SM-5KM2F,ESOPHAGUS
GTEX-X4XX-1026-SM-4QARO,LUNG
GTEX-ZYFC-0826-SM-5E44K,BREAST
GTEX-QMR6-0011-R6A-SM-32PKP,BRAIN
GTEX-POYW-1226-SM-5LZWQ,LUNG
GTEX-13OVI-1426-SM-5L3EY,SKIN
GTEX-X4EP-0011-R11B-SM-4QASK,BRAIN
GTEX-QDT8-0011-R8A-SM-32PKE,BRAIN
GTEX-145LU-2626-SM-5LU9Z,BRAIN
GTEX-12ZZX-2826-SM-5BC6K,BRAIN
GTEX-ZF28-0011-R7a-SM-4WKF5,BRAIN
GTEX-12696-1426-SM-5EGJ6,ESOPHAGUS
GTEX-WK11-0326-SM-4OOS6,TESTIS
GTEX-1211K-1126-SM-5EGGB,PANCREAS
GTEX-14753-1926-SM-5NQAA,ESOPHAGUS
GTEX-T2IS-0126-SM-4DM6O,SKIN
GTEX-ZPIC-1726-SM-57WF2,SKIN
GTEX-12WSF-0011-R1a-SM-5DUVI,BRAIN
GTEX-X15G-0826-SM-4PQZD,ESOPHAGUS
GTEX-12WSK-2126-SM-5CVNC,SKIN
GTEX-11P82-0526-SM-5986P,ESOPHAGUS
GTEX-WYJK-2426-SM-4ONDQ,PANCREAS
GTEX-OIZH-0126-SM-2HMIS,SKIN
GTEX-P44G-0011-R2A-SM-2XCD2,BRAIN
GTEX-Y114-1126-SM-4TT7V,ESOPHAGUS
GTEX-SE5C-2126-SM-4BRUJ,BREAST
GTEX-YF7O-1326-SM-4W1ZR,PANCREAS
GTEX-WY7C-1026-SM-4OND3,PANCREAS
K-562-SM-2S1RI,BONE MARROW
GTEX-X4LF-0626-SM-4QASB,ESOPHAGUS
GTEX-13NZB-2026-SM-5MR4M,TESTIS
GTEX-11I78-2226-SM-5PNYA,BREAST
GTEX-139UC-0011-R9a-SM-5K7W7,BRAIN
GTEX-RNOR-0011-R9A-SM-2TF52,BRAIN
GTEX-S7SF-1026-SM-4AD4I,ESOPHAGUS
GTEX-WZTO-0011-R10B-SM-4E3KB,BRAIN
GTEX-T5JW-0926-SM-4DM5K,STOMACH
GTEX-13111-1526-SM-5EGJX,TESTIS
GTEX-PLZ6-0626-SM-5K7WJ,ESOPHAGUS
GTEX-OOBK-3125-SM-3LK5R,ADRENAL GLAND
GTEX-13OW8-1026-SM-5J1NQ,SKIN
GTEX-XAJ8-0826-SM-47JY6,SKIN
GTEX-XMD1-0826-SM-4AT52,BREAST
GTEX-13RTK-0626-SM-5Q5EK,ESOPHAGUS
GTEX-11NSD-0526-SM-5A5LT,PANCREAS
GTEX-11OF3-1326-SM-5N9FJ,KIDNEY
GTEX-NPJ8-2626-SM-2D7W2,BRAIN
GTEX-14BIM-0011-R6b-SM-5S2VB,BRAIN
GTEX-147F4-0626-SM-5LUAK,TESTIS
GTEX-WY7C-2226-SM-4ONCS,TESTIS
GTEX-11LCK-0426-SM-5A5M8,LUNG
GTEX-13X6I-0011-R7b-SM-5PNWP,BRAIN
GTEX-11I78-1426-SM-5PNVY,ESOPHAGUS
GTEX-ZYFC-1726-SM-5GZYX,ESOPHAGUS
GTEX-11P7K-0008-SM-5S2O5,SKIN
GTEX-ZYT6-0426-SM-5GID3,THYROID
GTEX-WZTO-2926-SM-3NM9I,BRAIN
GTEX-XUJ4-0926-SM-4BOPA,ESOPHAGUS
GTEX-WL46-0011-R3A-SM-3TW8E,BRAIN
GTEX-147F4-1426-SM-5LUA8,LIVER
GTEX-144GL-1226-SM-5O9A4,THYROID
GTEX-13OVL-0011-R6a-SM-5L3G4,BRAIN
GTEX-Y5V6-2026-SM-5IFHO,KIDNEY
GTEX-13OW5-0011-R1b-SM-5L3GE,BRAIN
GTEX-13YAN-2026-SM-5Q5EY,ESOPHAGUS
GTEX-13QJ3-1826-SM-5S2PT,ESOPHAGUS
GTEX-14BMU-1226-SM-5S2OR,SKIN
GTEX-132AR-0426-SM-5IFH8,LIVER
GTEX-WVLH-0626-SM-3MJG7,THYROID
GTEX-Y5V6-2326-SM-4VDSA,SKIN
GTEX-WRHK-0526-SM-4MVOF,ESOPHAGUS
GTEX-N7MT-1226-SM-26GMC,BRAIN
GTEX-11UD1-0011-R3a-SM-5BC6S,BRAIN
GTEX-SUCS-0926-SM-4DM4Z,STOMACH
GTEX-145MH-2826-SM-5RQJF,SKIN
GTEX-11ZUS-0011-R10b-SM-5BC79,BRAIN
GTEX-XK95-0008-SM-4AT5G,SKIN
GTEX-13X6J-0126-SM-5QGOU,SKIN
GTEX-11EM3-1226-SM-5N9DD,SKIN
GTEX-Q734-0008-SM-48U2I,SKIN
GTEX-13PL7-0526-SM-5J2MQ,ESOPHAGUS
GTEX-RUSQ-0626-SM-2TF5V,LUNG
GTEX-ZY6K-0326-SM-5SIBB,LUNG
GTEX-131XH-0011-R1a-SM-5DUWA,BRAIN
GTEX-1192X-0226-SM-5H12D,SKIN
GTEX-11I78-2126-SM-5A5K8,UTERUS
GTEX-V955-2026-SM-3GAFA,BREAST
GTEX-XLM4-0011-R9A-SM-4AT45,BRAIN
GTEX-VUSG-0426-SM-5S2TB,THYROID
GTEX-RVPU-0011-R8A-SM-2TF74,BRAIN
GTEX-S3XE-0126-SM-4AD4R,ADRENAL GLAND
GTEX-13G51-0426-SM-5K7Z5,LUNG
GTEX-YBZK-0008-SM-59HL6,SKIN
GTEX-X4EP-0011-R6A-SM-3P629,BRAIN
GTEX-146FH-0826-SM-5SI8T,BREAST
GTEX-YJ89-0011-R8b-SM-4SOK8,BRAIN
GTEX-13FLW-0011-R5a-SM-5LZX6,BRAIN
GTEX-111FC-1026-SM-5GZX1,THYROID
GTEX-111VG-0008-SM-5Q5BG,SKIN
GTEX-NPJ8-1526-SM-26GMY,BRAIN
GTEX-ZPU1-1626-SM-4WWB2,STOMACH
GTEX-133LE-0726-SM-5P9IZ,ESOPHAGUS
GTEX-WYVS-1226-SM-4ONCL,UTERUS
GTEX-T2YK-0008-SM-4DM6M,SKIN
GTEX-PLZ5-0826-SM-4E3JR,ESOPHAGUS
GTEX-WK11-2626-SM-4OOSK,PROSTATE
GTEX-YEC3-1326-SM-4WWEL,SKIN
GTEX-11OF3-2326-SM-5GU73,ESOPHAGUS
GTEX-14BIN-1126-SM-5RQJZ,SKIN
GTEX-WI4N-1426-SM-3LK7H,BREAST
GTEX-13OVH-2926-SM-5IJFH,BRAIN
GTEX-12ZZX-2126-SM-5LZVL,UTERUS
GTEX-139T4-0008-SM-5S2WF,SKIN
GTEX-QEG5-0826-SM-2I5GF,THYROID
GTEX-ZPIC-0926-SM-4WWFK,PANCREAS
GTEX-14E6C-0126-SM-5RQIP,SKIN
GTEX-13PDP-1026-SM-5L3FA,THYROID
GTEX-13111-0826-SM-5LZV3,ESOPHAGUS
GTEX-X5EB-0726-SM-46MVR,THYROID
GTEX-11WQC-2526-SM-5CVLE,SKIN
GTEX-OHPM-0526-SM-2YUMJ,LUNG
GTEX-S341-0426-SM-4AD5L,ESOPHAGUS
GTEX-145MH-0426-SM-5LU8T,THYROID
GTEX-13OVJ-0011-R7a-SM-5L3G1,BRAIN
GTEX-1399Q-2826-SM-5IJEZ,TESTIS
GTEX-UJMC-1126-SM-3GADP,PANCREAS
GTEX-YEC4-1026-101814-SM-5P9FX,ESOPHAGUS
GTEX-QVJO-0011-R6A-SM-2S1QN,BRAIN
GTEX-144GM-0226-SM-5Q5CB,THYROID
GTEX-QDVN-2026-SM-3GAEP,SKIN
GTEX-13X6K-0011-R3b-SM-5PNUD,BRAIN
GTEX-11NV4-1126-SM-5HL6J,LUNG
GTEX-14753-1726-SM-5NQ9X,ADRENAL GLAND
GTEX-139UW-0011-R11a-SM-5IJGN,BRAIN
GTEX-QV44-0926-SM-2S1RH,LUNG
GTEX-13N11-0826-SM-5IJFP,ADRENAL GLAND
GTEX-XUW1-0226-SM-4BOOS,UTERUS
GTEX-ZU9S-1826-SM-5NQ9E,SKIN
GTEX-PX3G-2026-SM-48U1H,UTERUS
GTEX-12KS4-0126-SM-5Q5A5,BREAST
GTEX-13NZ9-1326-SM-5MR3V,LIVER
GTEX-13FLV-1126-SM-5J2NO,ESOPHAGUS
GTEX-SNOS-1126-SM-4DM67,TESTIS
GTEX-X5EB-2226-SM-46MW4,SKIN
GTEX-13PVQ-0011-R9b-SM-5LU3B,BRAIN
GTEX-XMD1-0011-R1A-SM-4AT4C,BRAIN
GTEX-ZVP2-0726-SM-59HKY,PANCREAS
GTEX-XLM4-3026-SM-4AT6L,BRAIN
GTEX-117YX-0226-SM-5EGH6,PANCREAS
GTEX-13N2G-1226-SM-5IJCI,ESOPHAGUS
GTEX-13FH7-0626-SM-5KLZD,ESOPHAGUS
GTEX-1212Z-0426-SM-5FQT6,THYROID
GTEX-YFCO-1826-SM-4W1YH,BREAST
GTEX-P4PP-0626-SM-3NM9X,ESOPHAGUS
GTEX-RN64-0626-SM-2TC5V,THYROID
GTEX-WVLH-0011-R1A-SM-4MVOK,BRAIN
GTEX-ZTX8-1426-SM-5DUVO,SKIN
GTEX-S341-1726-SM-3K2AK,SKIN
GTEX-13OW6-1726-SM-5IJGI,ADRENAL GLAND
GTEX-13OW8-2826-SM-5L3GC,BRAIN
GTEX-PW2O-0526-SM-2I3DX,LUNG
GTEX-RUSQ-2126-SM-47JXK,TESTIS
GTEX-ZE7O-0826-SM-57WCP,LUNG
GTEX-13JUV-2726-SM-5LZZ8,SKIN
GTEX-13RTJ-0011-R5a-SM-5P9HR,BRAIN
GTEX-111CU-0526-SM-5EGHK,PANCREAS
GTEX-RM2N-1326-SM-48FCW,TESTIS
GTEX-TMMY-1726-SM-4DXTD,OVARY
GTEX-12C56-1126-SM-5FQTO,ESOPHAGUS
GTEX-14ASI-0011-R8b-SM-5S2UB,BRAIN
GTEX-13OW8-0011-R10a-SM-5L3H6,BRAIN
GTEX-13OVJ-0726-SM-5KM1W,LUNG
GTEX-13FTX-1026-SM-5J2O5,UTERUS
GTEX-13OW8-2226-SM-5K7Z4,ESOPHAGUS
GTEX-ZVT2-1826-SM-5NQ8W,BREAST
GTEX-13RTJ-2226-SM-5S2Q1,KIDNEY
GTEX-144FL-3026-SM-5O99C,BRAIN
GTEX-1122O-0226-SM-5N9DA,THYROID
GTEX-13U4I-1326-SM-5KM25,ESOPHAGUS
GTEX-RWS6-1926-SM-47JXY,BREAST
GTEX-12ZZW-0011-R10b-SM-5HL9X,BRAIN
GTEX-ZPU1-0926-SM-57WDO,LUNG
GTEX-13NZB-2526-SM-5J1OM,SKIN
GTEX-Y3IK-1326-SM-4YCD8,ESOPHAGUS
GTEX-UPIC-1026-SM-4IHLT,ESOPHAGUS
GTEX-WYVS-0326-SM-3NM9V,THYROID
GTEX-YEC3-0626-SM-4YCFE,PANCREAS
GTEX-ZVT2-0826-SM-5GIEO,ADRENAL GLAND
GTEX-13X6K-0011-R6a-SM-5P9K6,BRAIN
GTEX-QV44-0826-SM-2S1RG,THYROID
GTEX-S95S-0426-SM-4B64I,ESOPHAGUS
GTEX-X4EP-3026-SM-3P5YP,BRAIN
GTEX-11GSO-0011-R1b-SM-57WD3,BRAIN
K-562-SM-5IJB7,BONE MARROW
GTEX-1313W-0011-R5b-SM-5L3EP,BRAIN
GTEX-OXRL-0726-SM-3NM9A,ESOPHAGUS
GTEX-X8HC-0626-SM-4E3HQ,SKIN
GTEX-ZLWG-0626-SM-4WWFR,LUNG
GTEX-Q734-1926-SM-2I5EV,SKIN
GTEX-11GSO-0011-R3b-SM-57WB2,BRAIN
GTEX-1399T-3026-SM-5KLZC,BRAIN
K-562-SM-4DM4W,BONE MARROW
GTEX-PLZ4-1626-SM-3P618,ESOPHAGUS
GTEX-VUSG-0326-SM-5S2ST,PANCREAS
GTEX-11H98-0011-R8a-SM-5NQ8V,BRAIN
GTEX-12WS9-0726-SM-5FQT7,THYROID
GTEX-13OW8-0011-R6b-SM-5L3I3,BRAIN
GTEX-XMD1-0011-R11A-SM-4AT5J,BRAIN
GTEX-Z93S-1726-SM-5HL8G,TESTIS
GTEX-13X6J-0011-R5b-SM-5PNWT,BRAIN
GTEX-12BJ1-1726-SM-5HL9B,STOMACH
GTEX-13O1R-1526-SM-5J1O7,ESOPHAGUS
GTEX-11WQC-0011-R11b-SM-57WD6,BRAIN
GTEX-11EQ8-0826-SM-5N9FG,THYROID
GTEX-UJHI-0626-SM-3DB8T,PANCREAS
GTEX-144GN-1626-SM-5Q5BU,TESTIS
GTEX-T5JW-2026-SM-4DM63,BREAST
GTEX-14ASI-0011-R10b-SM-5S2VZ,BRAIN
GTEX-S4UY-0726-SM-4AD6X,BREAST
GTEX-11EQ8-0008-SM-5Q5DJ,SKIN
GTEX-13FTW-1526-SM-5LZXC,ESOPHAGUS
GTEX-11O72-0126-SM-59887,SKIN
GTEX-QLQW-1626-SM-4R1K1,KIDNEY
GTEX-145LS-0011-R1b-SM-5PNUP,BRAIN
GTEX-13JVG-0726-SM-5KM16,SKIN
GTEX-RWSA-2426-SM-47JXR,TESTIS
GTEX-11ZTT-1026-SM-5EQKF,THYROID
GTEX-12ZZX-0126-SM-5EGK9,SKIN
GTEX-VUSG-2226-SM-4KKZO,BREAST
GTEX-12WSI-0011-R11b-SM-5P9EZ,BRAIN
GTEX-132Q8-1826-SM-5EGIY,ESOPHAGUS
GTEX-X8HC-1426-SM-46MWC,ESOPHAGUS
GTEX-13FTW-1626-SM-5KM4N,ESOPHAGUS
GTEX-Y3I4-1626-SM-4TT7W,STOMACH
GTEX-13O3Q-0011-R6a-SM-5KM2V,BRAIN
GTEX-11UD2-2826-SM-5GU6X,TESTIS
GTEX-U3ZH-1026-SM-4DXUZ,ESOPHAGUS
GTEX-UPJH-0326-SM-3GADU,SKIN
GTEX-SJXC-0126-SM-2XCFF,SKIN
GTEX-ZF2S-0626-SM-4WKH2,LUNG
GTEX-145LV-2126-SM-5LU8N,SKIN
GTEX-ZE7O-3026-SM-51MS4,STOMACH
GTEX-S4Q7-0626-SM-4AD5M,ESOPHAGUS
GTEX-XUW1-1526-SM-4BOOY,ESOPHAGUS
GTEX-XLM4-0726-SM-5S2SH,THYROID
GTEX-XUYS-0008-SM-47JYZ,SKIN
GTEX-12WSA-0011-R5b-SM-5GU5I,BRAIN
GTEX-12WSK-1126-SM-5LZV8,ESOPHAGUS
GTEX-ZAB5-1826-SM-5HL7C,SKIN
GTEX-13FXS-0726-SM-5LZXJ,THYROID
GTEX-11EQ8-0926-SM-5H12V,SKIN
GTEX-12WSN-1326-SM-5GCNT,BREAST
GTEX-11I78-1926-SM-59878,OVARY
GTEX-XV7Q-0326-SM-4BRVM,THYROID
