bigwig_file,tissue
A57E6132-9B76-493A-A167-8462263B7CDB,UTERUS
D8C1F924-656B-451D-B10A-CF4C54AAE1D3,KIDNEY
A59040E1-6D0B-49F1-B4B3-BD96B0E98536,BREAST
61F5C72A-4DDB-4EDB-908A-B2856CAFD8BD,BRAIN
F6AE36EB-9A9C-4327-8FBA-DC122A5C942C,UTERUS
12044D3F-7988-4103-AE9F-BEE383D413FC,STOMACH
B1FA4B79-5CE1-482E-80CD-2C3219CD170F,STOMACH
EA2E8ECB-841C-4224-9468-ED2D649C31A3,BREAST
18DEF1B0-03CC-4D8F-9B06-EDAF4DFDDA60,LUNG
7293D2D3-CEF9-41CC-911A-E94CB67F2EE1,PROSTATE
5D663B98-8416-4305-A891-111B7A4DC40B,PROSTATE
13D42C2D-1546-4B4A-BDAA-2595662A69FC,SKIN
972F503F-19C4-49A0-A97B-3247A8582C5A,PROSTATE
2FDF808C-D923-4F32-91E1-C386AE238F1C,LUNG
F99D2B23-A7C3-4115-AA68-17AE6914AC2A,BRAIN
6E8A9288-C2F1-4DDE-B52B-7656DB802FB4,BRAIN
E871822F-87BC-482E-9E8C-2C40B00CBC4F,PROSTATE
FE7EDCFE-DFB0-4541-A3CE-E916C34718AD,LIVER
58BFCE99-35E1-4D67-B3E4-5284890E5102,THYROID
C4CA479C-05D8-4151-B93E-4F410CE04BF6,UTERUS
8068D388-F464-48B9-8253-52FA8AE4485D,KIDNEY
357C1FC3-5038-4BD3-A629-C31E97A7B6A3,LUNG
117A3E8A-4568-44A6-BAEE-9A5AB002042D,BREAST
32CE45C6-670F-4018-A498-15774915E4DB,PROSTATE
18C144E1-0089-4104-88E7-F666CE19EA13,LUNG
5A539F4D-3D22-46DD-9108-C92E9DF0B671,THYROID
29968837-2519-4D95-91CE-EC981D6781DC,THYROID
D8A7179D-32B4-4BBE-8E83-628962BDD2FE,KIDNEY
E06668E3-03B5-4E17-9E22-40D5734AF988,BREAST
1D94D213-147D-478A-8E66-767D5C5B044D,BREAST
246B764A-9C95-4B08-A76B-51BBBF8B1DBA,SKIN
4D929884-46F7-4E61-9D05-B2C19A3D9BC3,KIDNEY
24565113-7FC0-4E9F-84E3-6329DC06522D,THYROID
ECAAE00B-A1CF-45A9-88EC-2725B297F756,KIDNEY
E659A1A9-E9BE-4095-B605-6BC72F87BD38,LUNG
9FD36100-03D6-4F7D-9F0C-0AA1A03022CF,KIDNEY
8D920066-BD00-4BF2-BACD-6F23396B1BDE,KIDNEY
308B8E36-4131-41E5-90A1-677A65353288,UTERUS
AE51F2BD-75E6-432E-9198-C33A68314A7B,LUNG
0D4202A3-808E-413F-9BF3-9CFCCAE0ED61,ADRENAL GLAND
09521B29-B002-4AAD-93F1-6E600DD31515,OVARY
208AC48A-54A5-4308-A56F-48F8F2142CDA,SKIN
604C06E9-A00E-435E-847A-3992922A5C56,BONE MARROW
F1ABF85E-67C0-4573-905A-0654DAC03357,LUNG
434A38C8-6D82-4163-A2E3-0E08B0243E0E,SKIN
E9FC1686-028B-476C-B51B-4956213D874B,BRAIN
FF00E80A-046D-4233-835E-CDF93403EA43,ADRENAL GLAND
33A5FE1E-E6AA-4C35-88C3-3054149A8D3B,LIVER
B7A23896-4182-48D3-A1D9-92C781BF283F,BRAIN
8D30F824-25B9-43DB-BD39-2C9C790509DD,BRAIN
C4F8376D-5892-414C-88E2-1F9BCE71C33C,THYROID
F36353A3-6CE6-4347-A78B-0AAD8FAB14AD,LUNG
729AC418-3BE9-445A-95D4-AC11A7D43BE0,ESOPHAGUS
804CD40E-0E8B-4AF9-8C07-9CB92B1EF049,OVARY
BB7C749A-DA59-4FB7-8624-1555754B604C,THYROID
569CFD1F-FFD4-45C2-BCDC-300AED2AB93E,THYROID
52EC9A4B-8802-4B9B-8B86-47165C10A389,OVARY
60AFD798-AF56-41CC-9EA9-2F1CA1986886,UTERUS
CA6E11F4-8B85-4C73-9B48-C28F5D5D91D6,BRAIN
92B0C87E-67F6-4E1E-BC47-27BEA737EF0E,LIVER
1BB0E8C7-8A81-4CF4-84F4-85BD75D1CCA9,LUNG
A8099400-B1DC-471C-8C6A-95CEADB6869A,BREAST
9F6302FA-8F40-49AB-9388-2DC5B3DB58E6,PROSTATE
57A76611-9DD1-4A90-AA67-0475D2DE7E16,THYROID
6915E69B-C2EA-4034-AB9A-74E9EF3C03A9,KIDNEY
B422FFF3-623B-419A-964E-046BAE3578B3,BREAST
ADA7835F-DB67-4F4F-9446-8BCE3C5FE936,ESOPHAGUS
0784F46F-9363-44E9-8799-CC7E5B3FA396,LIVER
D65DAD9A-B276-417F-A169-C9491402E42B,STOMACH
130C8FBD-8D78-4212-8DD6-301EDFA339A9,UTERUS
2A02A359-28A1-41B9-8EDD-2477C95CD00A,UTERUS
087F39E0-2C2D-479E-AC56-CF64D9936755,KIDNEY
9C57AC2A-83C8-41EB-8DC3-9A897D8F8110,OVARY
287F2B71-92F8-4D14-8249-C1BFBB254BE7,LUNG
9E244999-34E6-412E-A8DB-A828E5F0EDDE,LUNG
FB7499A6-0519-4D8A-B424-86C5CF382195,BREAST
A59E5CFD-1A8E-4973-9019-F68D5AE8C046,LUNG
B90927EE-2978-45BC-872B-200DE436605C,PANCREAS
E769E41D-5949-42C5-9594-E563C05ACE52,ADRENAL GLAND
0B10C68D-9AC5-4C64-9233-2EB9C4A8A942,BREAST
2EE2F4A6-C908-48B0-8D5D-5B3A4111FB21,OVARY
4ED692EB-E194-49D7-9222-6232051426E5,SKIN
961CEC20-67F2-4615-8725-F35C12F0BC9B,BRAIN
E5783A36-AFAB-4A48-8724-5C7FFB6D8E51,OVARY
2658C59E-18D8-487B-867B-DBC0A86CAEA1,PANCREAS
2C15CA0C-8C2E-4E77-ABD4-4C12816BFC7E,LIVER
4099642A-F8D6-428C-AA12-1E76C27BB368,BRAIN
FF9677ED-0E73-428A-A253-FF4772A62A7D,KIDNEY
F8F6611A-A71A-4847-92B2-15723B9ED0B8,BRAIN
AD62B8A4-6AB8-4C99-80F5-98A1C085027D,BRAIN
F7B7F7E8-612F-46D4-BF4A-63BEFA5ACB04,BREAST
04C60003-5D6D-45EA-957C-E54AACAC7485,BREAST
5AA74C5C-2AD1-4D59-A030-E964EB199581,BONE MARROW
ED687166-9F07-4BB4-8455-65E2D2F405F8,UTERUS
0A7F2E15-28E8-41BB-A20C-1882CE80D6CA,PROSTATE
BADA8C36-D5D2-48E0-B647-FA429D0F448D,OVARY
6D90549C-3B99-4DFC-996D-86211498A8C5,OVARY
DA2A7E1E-3CFB-4DCA-A815-C7E2AEC7704A,KIDNEY
1860247C-3EC4-4D8E-905F-E999F2FE783F,LUNG
33D74C0E-4DD2-47D3-AA85-A8928FF0E1A7,PANCREAS
91A45DFF-D6C6-4A30-B79D-475DAD0A609E,BREAST
DA8B577E-43E7-49BF-BF94-868E3194F5C9,ADRENAL GLAND
0572C254-447A-425C-BD88-2EE4BFDE8BEC,KIDNEY
69365512-8052-4BEA-B60D-9E065DD436BB,LUNG
7463B57E-ACDE-4ABB-A541-BBD9E326E959,KIDNEY
656B6084-9C58-469A-BEAF-FFC1D089E658,BRAIN
DF842B1B-8491-4D38-8C37-2BEAB7FD19F6,LUNG
4ADC710C-0954-42A6-8D6A-0FD9794F788F,KIDNEY
2A335049-AD9F-4B32-92B7-69B04B0CF2BA,BONE MARROW
1F156293-491F-4DF4-AC7A-52BB36BEE4E4,LUNG
A8F881DB-1BC3-4354-9FAB-BC223B7410A7,LUNG
712BB262-B4D5-4533-90F7-E3DA82ACFCB7,LIVER
4CF2C888-2100-483A-B4DB-ECBB69243A4D,ESOPHAGUS
ADE8E489-7FB1-4A3D-B0DB-6D2B3CFDEE35,KIDNEY
5A1FA078-42DA-4350-8E98-2FA13B000687,LUNG
6D220B7F-16EF-4BA1-B696-2697395557DD,THYROID
DE406E2B-39AF-4A24-B2BE-0F7CDCBE9D85,BRAIN
EE0BFC5E-98FA-4F6B-9386-8A56E6F26C95,TESTIS
0E6AE036-64ED-4489-AE40-55F77089A890,BREAST
5AB4A86C-8AA0-4834-A9E3-7BDB7AC6AD61,KIDNEY
7B7E4285-80A4-4009-9854-BAA16C1B8A74,LIVER
56123205-2BAD-48C9-8393-3CB804CDC42B,KIDNEY
6F961AB5-18B1-432A-92F6-55D28C6A33FA,LIVER
4549956C-8D25-4B37-894C-E82D5C7684F0,BRAIN
933DB910-2728-4DC4-840E-B0CD1F13A421,UTERUS
DD28FBAB-4A9C-4654-8FE5-E030ABD064AE,KIDNEY
55CAFD5B-FA38-4F15-9EE3-D3F246226AB9,KIDNEY
2E4B0D7F-A3FE-444B-A1BB-7601B9BC5EE6,LIVER
69C63329-4865-4FB8-9E32-2AB1A2A9223B,KIDNEY
28350D40-F35C-4A7D-9687-960F99C6FE5F,LUNG
CE615155-9B3E-4D17-865D-EDC5EEA65ACD,BREAST
29406946-7073-45FB-B9ED-0DB814E391A8,KIDNEY
BD6E5E3C-DC43-4A85-84DF-84C68ABB851A,LUNG
FB4871CA-8B8D-49BC-A6F6-ABC67C2B3557,LUNG
4B69E71D-BD4D-4311-8C2C-3DE45B59E66B,THYROID
FF3173F2-68CA-4B0D-8F80-889838AAE6A6,TESTIS
95AFBE7A-9495-433D-8CF0-41D126110428,PROSTATE
1A685E67-A37C-446D-BD58-200D2289E7B5,PROSTATE
F0569EB4-93AD-4EBC-B588-58F4295FAC75,PROSTATE
AA569A06-0F37-4492-93F3-60A4539A3E82,LUNG
F339E949-A5A1-41D0-907A-D254BAC5E0FE,BREAST
8B23AB23-8931-42CA-972D-1528D44BF218,PANCREAS
C01F4272-D148-454E-A2FA-3DF281B23C91,TESTIS
F772EA39-E408-4908-BADD-C786D702BF9B,BONE MARROW
8B2B5542-3E54-4643-BB57-0BEFCF89A16B,BRAIN
E5C35707-AD20-49CC-BD2E-0896FFB39F2F,KIDNEY
CCF8A4A2-D320-434F-A756-3F9CB5672F23,THYROID
E39D9DB8-83DF-48A1-A43C-D24E78D53E78,UTERUS
831C6A51-7F33-4D9D-9897-CBBEC52505CC,BREAST
D2F7F14F-1588-4BBF-90D6-279D7BB7F661,PROSTATE
7337C0EA-0D5E-4B6A-A30C-23664EBC901A,UTERUS
B865AA0E-AFDE-4207-B838-8EDB9FBD111F,STOMACH
AB6C8B90-7FFB-4B89-A967-3950673B1ED7,KIDNEY
AA8714CF-5EC7-4A40-8540-B069116F56DA,KIDNEY
13E15398-82CB-4A44-AFA5-307DD0838564,LUNG
EAA457D5-032F-49D0-8D27-A841EB248964,THYROID
B1DF468D-306D-4483-87A2-F5022E0D31CD,BREAST
78EEB2C7-4B64-4CB0-9C94-E2AC46A75237,LUNG
9C30E1C0-1ADE-460B-B53D-297CCA80C071,BRAIN
DD12413F-AF11-4062-9B66-80035C34BEC8,LUNG
825309CC-4841-4475-BF77-8250C5EEADD8,OVARY
74880702-8A08-4103-ABE3-ED9E53AD6207,THYROID
5E79792E-CE89-4ECF-BD4E-B12877E63949,OVARY
99406416-1F47-4791-B186-C2F0FBC67532,UTERUS
0E4DDE6E-B289-4FEE-BF9E-390C2695C552,LIVER
34D8CE1D-7376-4212-A775-56FD25C7D678,UTERUS
84155696-EA17-4493-9B7B-A8EEA5B74B8C,KIDNEY
6C677ECD-CC01-4B66-BADB-0779B7274B20,BREAST
CABBCE72-A7CF-452E-9DC3-EB48ED23DF82,BREAST
1BBD421E-0B42-4760-9E9D-4819474ECF15,KIDNEY
F694D119-BF58-4449-A811-CB7A2165D8C0,BREAST
29745BC1-7918-4EEA-ACAB-C262311E71B0,STOMACH
248A7931-1EB5-47E3-A966-E6AF62E21FC1,LUNG
7878EF71-75B5-4BB8-8345-727832874B38,THYROID
63B96C26-3379-4D57-917F-5931F5286C50,LUNG
41299E23-78D8-406D-BA9B-825854479D2F,LIVER
1AB7A6F2-14BD-447C-B2E3-DEB0CE56B209,BONE MARROW
C4EC541D-8BEA-4B1D-8E7D-83B04E349944,BREAST
AC408085-7A00-405A-BBAE-D85E418EA768,KIDNEY
4D3CAFA9-CE43-43C0-AC6A-FD930168467C,THYROID
D42B7981-3D8E-4233-B90D-F2B8A9C04D7F,BREAST
6F0DF420-9BA6-48D7-91A0-7AA2CC5B5E80,BREAST
18AE7FAE-0B1E-4F52-BEC6-6158E61EB679,SKIN
28DD335D-6972-429A-979A-3665876B3BFB,KIDNEY
C3257122-09A9-449C-BE4A-107703DEF60C,LUNG
31D4B639-D1E5-479B-AEC2-34F758F2E470,UTERUS
8045F09F-983B-458F-AE37-2D235F475EBC,LUNG
B5DE434D-6630-4E7E-BA91-6DAC5E2608D3,BRAIN
A8574ACB-A9B6-4DE1-83E0-DB7E18F4F313,SKIN
B6ED9B7B-4EB7-4665-8A5C-396F3ACD6A46,KIDNEY
1707CA8B-228E-49F9-B78A-A0171E853376,SKIN
AE48C4B5-785A-4E19-9FF6-76C009D20331,PROSTATE
FFE0C4B1-8EEC-484A-AB87-3401B71BD081,ADRENAL GLAND
2A1A371D-F0D1-4EB7-8CD5-874FE13FD7A6,STOMACH
A2814D48-C2B6-4536-AC39-6EA289F8D433,SKIN
085B0F76-1407-488B-83AC-E538C8DD0CD6,STOMACH
36D1E390-7DDA-4722-8F72-87720D368A6B,TESTIS
82DA87CF-C067-44B3-A372-ECB056337B08,SKIN
3C8AFB34-4FB9-404E-A6FD-DDFD6703E956,UTERUS
BD6DAD3D-2D5F-4560-9A4C-70D8A1D49732,UTERUS
793B875F-3509-484E-AF24-4A9FA4BCB4FA,THYROID
3EAA0B86-E0B6-4A17-AF00-C1DBD5E63010,THYROID
9CD499C7-96F2-417C-A68A-A69E34C2659A,STOMACH
FE8BF22A-1156-43C2-9D96-A409FD4BB999,BREAST
3D71A939-4D61-4178-91C8-9B5004B14064,TESTIS
197C2AC3-7698-44D7-B4A9-18788AC6EF7E,PROSTATE
3F64FCDA-3C5D-4EC3-A355-7FBAF5A13381,KIDNEY
A29A86BA-7E4F-4C27-9386-A42DC156B5BD,STOMACH
8D361255-E352-4248-9FDF-0A6602CB419D,SKIN
AF739504-76EC-4C97-8155-5BA161688083,THYROID
4FFA9B06-04F7-4DF1-A1EA-BB544A716AFB,KIDNEY
9962DCA4-CE34-4D77-9582-67EEA0838C2A,BRAIN
457F567F-F3F3-4969-BA91-9352F1956D89,STOMACH
1216E952-E420-43F7-877D-A948AE9BA407,LIVER
4FE5EDE2-7790-4A75-9BB6-93260A8154A0,BRAIN
4AEFB9F1-A55D-472E-A963-5BB3364D9D8C,OVARY
68CE8E02-F24A-4580-9881-DFBB288E2ED7,BRAIN
DE370889-1057-4355-AFD8-CCFCDC6CD00F,BRAIN
BDBBD576-316D-40A3-88A1-796AC1DE27A0,LIVER
5A1B0142-CFEF-4853-9871-5984C11C0CF3,TESTIS
83867921-8D7C-41AE-9292-010EECA0C186,STOMACH
100BF963-6103-45E6-A760-E44649580CF5,OVARY
5DE96D28-8B66-4994-A80B-5ACB2AB75546,KIDNEY
2366BE81-7B98-4293-8ABC-D80D49092E24,UTERUS
706CD6CB-20D1-4B61-91CE-96468AFAB948,LUNG
3C62A605-1AE0-4D66-826F-DBBD3694ED47,LUNG
