,sex
GTEX-11NV4-2126-SM-5N9DS,1
GTEX-13FTW-1426-SM-5LZWZ,1
GTEX-14753-0126-SM-5S2TX,1
GTEX-13OW6-0426-SM-5L3HM,1
GTEX-13113-1926-SM-5LZWG,0
GTEX-OXRO-1926-SM-2S1O3,0
GTEX-WWYW-0426-SM-3NB31,0
GTEX-RN64-1026-SM-48FDX,1
GTEX-WOFL-0006-SM-3TW8K,1
GTEX-X8HC-0006-SM-46MV6,0
GTEX-13NYS-1926-SM-5IJCB,1
GTEX-13112-2926-SM-5DUWT,1
GTEX-WEY5-0008-SM-4LMKC,0
GTEX-11P81-2726-SM-59876,0
GTEX-12584-0726-SM-5FQTK,1
GTEX-11EMC-3126-SM-5EGJP,0
GTEX-R55F-1426-SM-2TF53,1
GTEX-ZUA1-2926-SM-59HL3,1
GTEX-13O3Q-0126-SM-5KM34,1
GTEX-13U4I-1626-SM-5IFFR,0
GTEX-11UD2-2826-SM-5GU6X,1
GTEX-14BMU-1126-SM-5RQJ8,0
GTEX-13CF3-1526-SM-5J2NB,0
GTEX-S33H-2426-SM-2XCB2,1
GTEX-PLZ5-0826-SM-3P5ZW,1
GTEX-WHSB-0005-SM-3LK7C,1
GTEX-1128S-0126-SM-5H12S,0
GTEX-P44H-0726-SM-48TBT,1
GTEX-ZP4G-1426-SM-4WWCL,0
GTEX-117YW-0126-SM-5EGGN,1
GTEX-WI4N-0926-SM-3LK7K,0
GTEX-14DAQ-2526-SM-5RQIO,0
GTEX-11WQC-0626-SM-5EQMF,1
GTEX-144GL-0011-R1a-SM-5PNZ5,1
GTEX-RVPU-0011-R11A-SM-2XCAF,1
GTEX-UPK5-1426-SM-4JBHH,1
GTEX-1399S-1326-SM-5P9GH,0
GTEX-Q734-2226-SM-3GAD9,0
GTEX-1399U-1626-SM-5P9J3,0
GTEX-XBED-1726-SM-47JYO,1
GTEX-WZTO-2126-SM-4PQYW,1
GTEX-S4Z8-0726-SM-4GICB,1
GTEX-WWYW-2726-SM-4MVOP,0
GTEX-OHPM-0008-SM-4E3IP,1
GTEX-P44H-0006-SM-2XCFB,1
GTEX-1399U-1126-SM-5L3DB,0
GTEX-ZY6K-1526-SM-5GZXE,1
GTEX-ZVT2-0626-SM-5GICR,0
GTEX-1313W-0011-R6a-SM-5K7XO,0
GTEX-145MO-1426-SM-5Q5BS,1
GTEX-144GL-0011-R5b-SM-5PNUJ,1
GTEX-ZAB4-2426-SM-5HL8A,1
GTEX-13FHO-1026-SM-5KM1Q,1
GTEX-1269C-2626-SM-5EQ5C,0
GTEX-13FHP-2926-SM-5IJG9,1
GTEX-13X6K-0626-SM-5LU5D,0
GTEX-TSE9-0008-SM-4DXT8,0
GTEX-S3XE-1826-SM-3K2B4,1
GTEX-13PVQ-0226-SM-5SIBG,1
GTEX-139TT-0326-SM-5IJC3,1
GTEX-12WSL-1626-SM-5GCMU,1
GTEX-13FXS-3026-SM-5LZYO,1
GTEX-ZF2S-0326-SM-4WKGD,0
GTEX-OHPM-1626-SM-2HMK4,1
GTEX-P4QT-1626-SM-5S2UR,0
GTEX-RU72-0011-R2A-SM-2TF6O,0
GTEX-ZF2S-0006-SM-4WKHF,0
GTEX-13CF3-0826-SM-5LZYZ,0
GTEX-13PL7-2526-SM-5IFGR,0
GTEX-12WSN-1826-SM-5LZUT,1
GTEX-ZVT2-1726-SM-51MRO,0
GTEX-132QS-0426-SM-5KLZ6,1
GTEX-X585-1026-SM-46MW6,1
GTEX-U8XE-0726-SM-3DB8O,1
GTEX-ZF29-1926-SM-5S2P1,0
GTEX-11WQK-2826-SM-5EQKH,1
GTEX-WI4N-2226-SM-4OOS9,0
GTEX-Q2AG-0526-SM-2S1PW,0
GTEX-13PVQ-1926-SM-5L3GN,1
GTEX-13X6K-0726-SM-5LU2Z,0
GTEX-UPK5-1626-SM-4JBHI,1
GTEX-VJYA-0926-SM-4KL1N,1
GTEX-Y3I4-2126-SM-4TT7C,1
GTEX-U4B1-0926-SM-4DXUV,1
GTEX-ZAJG-0726-SM-5HL9A,0
GTEX-SNOS-0526-SM-4DM54,1
GTEX-SN8G-0926-SM-4DM5I,0
GTEX-WFON-2026-SM-5S2TE,1
GTEX-T5JC-0005-SM-5S2SQ,1
GTEX-XMK1-0626-SM-4B65A,1
GTEX-T5JC-0826-SM-5S2SN,1
GTEX-Y8LW-0626-SM-4VDS8,0
GTEX-T6MO-1726-SM-33HB8,0
GTEX-14DAQ-1626-SM-5S2R1,0
GTEX-14E1K-0626-SM-5S2PG,1
GTEX-1399S-0006-SM-5NQ7U,0
GTEX-13OVG-0726-SM-5IJBY,1
GTEX-ZZ64-1726-SM-5GZYB,1
GTEX-XMD2-0226-SM-4WWEE,0
GTEX-XAJ8-1126-SM-47JYA,1
GTEX-11GSO-2426-SM-5A5LY,1
GTEX-ZXES-0826-SM-5E43C,0
GTEX-YECK-0426-SM-4W1Z5,1
GTEX-ZDXO-2426-SM-5S2NJ,1
GTEX-ZV6S-2126-SM-4YCEM,0
GTEX-P4QT-1526-SM-3NMCT,0
GTEX-1192X-1126-SM-5EGGU,1
GTEX-11P82-1826-SM-5PNYJ,1
GTEX-11TUW-3026-SM-5EGKM,1
GTEX-14AS3-1326-SM-5RQJE,0
GTEX-X15G-0926-SM-4PQZE,0
GTEX-1117F-0226-SM-5GZZ7,0
GTEX-11P7K-1926-SM-5GU6R,1
GTEX-YF7O-0826-SM-4W21F,1
GTEX-WXYG-0004-SM-4MVOS,0
GTEX-XOTO-0826-SM-4B65O,1
GTEX-117YW-0005-SM-5NQ8Z,1
GTEX-13SLX-0426-SM-5QGRC,0
GTEX-1122O-0426-SM-5H12G,0
GTEX-13VXU-0426-SM-5LU3I,1
GTEX-1399S-2326-SM-5K7YV,0
GTEX-ZA64-1526-SM-5CVMD,1
GTEX-XUJ4-1126-SM-4BOPC,0
GTEX-WFG7-0005-SM-3GIKM,1
GTEX-131XH-0826-SM-5GCN8,1
GTEX-ZF2S-1026-SM-4WWB1,0
GTEX-13VXT-1226-SM-5LU3M,0
GTEX-QMR6-1426-SM-32PLA,1
GTEX-ZDXO-2126-SM-4WKFI,1
GTEX-U8XE-1726-SM-4E3IF,1
GTEX-12WSD-1426-SM-5GCN9,0
GTEX-131XE-0726-SM-5HL9K,1
GTEX-13W46-0626-SM-5LU3N,1
GTEX-11NUK-0526-SM-5A5L5,1
GTEX-Q2AH-1626-SM-3GAF8,1
GTEX-YFCO-1026-SM-5LU9S,1
GTEX-12WSC-1026-SM-5EQ5Y,1
GTEX-12WSD-0226-SM-59HKO,0
GTEX-1211K-1026-SM-5EQ4B,0
GTEX-ZDTT-0726-SM-4WKFK,1
GTEX-U8T8-1226-SM-4E3IH,1
GTEX-139T8-0326-SM-5IJCM,1
GTEX-ZDTS-0001-SM-4WAXW,1
GTEX-12WSG-0826-SM-5EQ5A,0
GTEX-ZQG8-2126-SM-4YCF1,0
GTEX-S4UY-0926-SM-4AD6O,0
GTEX-WH7G-2026-SM-3NMBL,1
GTEX-RM2N-0426-SM-2TF4T,1
GTEX-139UC-3126-SM-5J1OY,1
GTEX-146FR-1226-SM-5SIA7,0
GTEX-V1D1-1126-SM-4JBHT,1
GTEX-ZAB4-0011-R6a-SM-4SOKD,1
GTEX-13QJ3-0226-SM-5S2PU,1
GTEX-WFON-1926-SM-3LK7L,1
GTEX-YBZK-0226-SM-59HLO,0
GTEX-131XG-1726-SM-5LZUR,0
GTEX-111CU-0126-SM-5GZWZ,1
GTEX-NL3H-0011-R10A-SM-2I3E9,1
GTEX-13O61-0526-SM-5J2M1,1
K-562-SM-3P61Y,0
GTEX-ZLWG-2226-SM-5DUWO,0
GTEX-ZV7C-0726-SM-59HKH,1
GTEX-14DAQ-1726-SM-5S2R2,0
GTEX-XMD1-2826-SM-4AT5F,1
GTEX-ZF29-1326-SM-4WWB6,0
GTEX-13O21-1026-SM-5IJDU,1
GTEX-QVUS-2926-SM-3GIJB,0
GTEX-1122O-0926-SM-5N9C9,0
GTEX-QCQG-0226-SM-48U28,0
GTEX-ZV68-0011-R5a-SM-4YCDW,0
GTEX-12WSN-2526-SM-5LZU8,1
GTEX-12WSF-0011-R11a-SM-5LZVT,1
GTEX-ZAB4-1426-SM-5CVN6,1
GTEX-RU1J-0826-SM-46MUU,0
GTEX-12WSA-0011-R5b-SM-5GU5I,1
GTEX-NPJ7-2726-SM-2I3FT,0
GTEX-UPJH-0626-SM-4IHJN,1
GTEX-13X6H-0426-SM-5LU4E,0
GTEX-WZTO-1326-SM-3NM8X,1
GTEX-12WSK-0326-SM-5GCOJ,0
GTEX-ZT9X-2026-SM-57WEJ,1
GTEX-13O21-3126-SM-5J1OI,1
GTEX-12WSB-0426-SM-5BC6H,0
GTEX-1477Z-2826-SM-5SI9J,1
GTEX-ZF29-1226-SM-4WKH1,0
GTEX-12WSK-2726-SM-5CVND,0
GTEX-WY7C-2626-SM-3NB2P,1
GTEX-RWS6-1326-SM-47JXB,0
GTEX-TSE9-0005-SM-4DXUF,0
GTEX-13NYB-1326-SM-5K7Y1,1
GTEX-14B4R-0426-SM-5Q5EI,1
GTEX-OHPL-0526-SM-4M1XS,0
GTEX-QEG4-2226-SM-4R1JM,1
GTEX-13QIC-3026-SM-5LU58,0
GTEX-QMRM-0826-SM-2I5G7,1
GTEX-X4XX-0011-R8B-SM-46MWM,1
GTEX-QLQ7-1826-SM-2S1R5,1
GTEX-1122O-0326-SM-5H124,0
GTEX-Y3IK-1026-SM-51MR7,0
GTEX-147JS-0126-SM-5S2TW,1
GTEX-ZTPG-0726-SM-5DUXP,0
GTEX-12ZZX-2126-SM-5LZVL,0
GTEX-QVJO-0008-SM-447AU,0
GTEX-Y8LW-0005-SM-4V6EV,0
GTEX-148VJ-2926-SM-5Q5DA,1
GTEX-XV7Q-2226-SM-4BRVY,0
GTEX-1399R-2226-SM-5P9JB,1
GTEX-WOFM-0008-SM-4OOSY,1
GTEX-ZQUD-1026-SM-4YCEZ,1
GTEX-PW2O-0006-SM-2I3DV,1
GTEX-11TT1-1026-SM-5PNW7,1
GTEX-11ZUS-1226-SM-5FQU8,1
GTEX-Y8LW-0426-SM-4VBQ6,0
GTEX-QMR6-0008-SM-447AV,1
GTEX-11WQK-0008-SM-5SI6T,1
GTEX-ZYWO-1126-SM-5U3SH,0
GTEX-WHPG-2626-SM-3NMBR,1
GTEX-ZP4G-0626-SM-4WWF1,0
GTEX-131YS-1426-SM-5IJF7,0
GTEX-13N1W-0526-SM-5MR4I,1
GTEX-ZVT3-1426-SM-59HLP,0
GTEX-144GN-1226-SM-5O991,1
GTEX-11VI4-0006-SM-5N9D8,0
GTEX-R55C-1926-SM-2TF4K,1
GTEX-139TS-2126-SM-5K7XC,1
GTEX-13O1R-1026-SM-5KM2L,1
GTEX-12WSD-0011-R3b-SM-5LZWN,0
GTEX-117YX-2126-SM-5GIEL,1
GTEX-14AS3-0326-SM-5Q5DB,0
GTEX-XMD2-1326-SM-4YCET,0
GTEX-ZC5H-0926-SM-5CVMZ,0
GTEX-ZVT2-0001-SM-57WCK,0
GTEX-XUZC-1426-SM-4BRV3,0
GTEX-13PVQ-1026-SM-5KM3M,1
GTEX-ZF29-0002-SM-4WKF2,0
GTEX-13PVR-1426-SM-5S2PW,0
GTEX-14DAR-1926-SM-5S2NQ,1
GTEX-Y8E4-0426-SM-4V6GB,1
GTEX-Y3IK-1126-SM-51MSV,0
K-562-SM-2XCE8,0
GTEX-WRHK-1626-SM-3MJFH,0
GTEX-WFON-0005-SM-5S2RV,1
GTEX-XQ8I-2326-SM-4BOQC,1
GTEX-P44G-0526-SM-2XCD1,1
GTEX-WFJO-0926-SM-4LVM2,1
GTEX-13FHO-0011-R11b-SM-5LZYQ,1
GTEX-Y8E4-2126-SM-5RQHO,1
GTEX-11GSO-2626-SM-5Q5AK,1
GTEX-W5WG-2226-SM-4LMI3,0
GTEX-13W46-0826-SM-5LU3H,1
GTEX-ZXES-1226-SM-5NQ8G,0
GTEX-13FH7-0526-SM-5IJF8,0
GTEX-WXYG-0126-SM-4OND7,0
GTEX-Z93S-0011-R10a-SM-4RGNM,1
K-562-SM-48U2C,0
GTEX-11EQ9-1426-SM-5987G,1
GTEX-13S7M-0011-R11b-SM-5P9HU,0
GTEX-S32W-2326-SM-2XCAW,0
GTEX-145LU-0011-R6a-SM-5S2V6,1
GTEX-132NY-0526-SM-5EQ4V,1
GTEX-N7MS-0011-R11A-SM-2HMJS,1
GTEX-RWSA-0826-SM-2XCBF,1
GTEX-TMMY-1926-SM-4DXUU,0
GTEX-13OW8-0011-R2a-SM-5L3G2,1
GTEX-139D8-1226-SM-5L3ED,0
GTEX-11DXX-0005-SM-5NQ8B,0
GTEX-14753-0011-R10b-SM-5S2WE,1
GTEX-TKQ2-0008-SM-4DM5L,1
GTEX-11OF3-2226-SM-5986F,1
GTEX-13X6I-0011-R11a-SM-5P9HN,1
GTEX-13VXT-1926-SM-5K7UO,0
GTEX-11P81-2626-SM-5GU6T,0
GTEX-14E1K-0426-SM-5S2PF,1
GTEX-W5WG-1426-SM-4KKZP,0
GTEX-13OVG-0926-SM-5J2OJ,1
GTEX-YB5E-2026-SM-5IFIS,1
GTEX-13113-0426-SM-5GCOD,0
GTEX-ZLFU-0226-SM-4WWFH,1
GTEX-11ILO-0008-SM-5QGR9,0
GTEX-11DZ1-0126-SM-5985Q,1
GTEX-WRHK-0008-SM-4MVPA,0
GTEX-YB5E-1926-SM-5IFIG,1
GTEX-XMK1-2526-SM-4B666,1
GTEX-YF7O-1626-SM-5IFII,1
GTEX-ZF28-0011-R5a-SM-4WWCZ,1
GTEX-145MI-0011-R8b-SM-5PNZ9,0
GTEX-UPIC-1026-SM-4IHLT,0
GTEX-11EI6-2926-SM-5985U,1
GTEX-ZYY3-2726-SM-5EGH4,0
GTEX-ZLWG-1126-SM-4WWFQ,0
GTEX-12WSC-1726-SM-5GCN3,1
GTEX-WHSE-1426-SM-4M1XG,1
GTEX-ZVZP-0004-SM-51MS8,1
GTEX-13RTK-0526-SM-5S2QF,1
GTEX-R55C-0226-SM-48FEO,1
GTEX-XMD1-0826-SM-4AT52,1
GTEX-11TUW-2326-SM-5EQMO,1
GTEX-Z9EW-1726-SM-5CVMO,1
GTEX-ZVE2-2826-SM-5GU51,1
GTEX-YB5E-0008-SM-4VDT7,1
GTEX-11I78-2026-SM-5987C,0
GTEX-QLQW-1026-SM-447A9,1
GTEX-WI4N-2726-SM-3LK7Y,0
GTEX-XXEK-0926-SM-5S2T8,1
GTEX-YF7O-0004-SM-4W1ZT,1
GTEX-OIZI-0426-SM-2XCEF,1
GTEX-R53T-0005-SM-3GADK,0
GTEX-POMQ-1226-SM-3P61F,0
GTEX-145MH-1426-SM-5QGPO,1
GTEX-132AR-2726-SM-5PNVN,0
GTEX-PVOW-0011-R1A-SM-32PL6,1
GTEX-XUW1-0826-SM-4BOP6,0
GTEX-14DAR-2226-SM-5S2VT,1
GTEX-13VXU-0011-R4b-SM-5O9CI,1
GTEX-13QBU-1326-SM-5LU4K,0
GTEX-111VG-0526-SM-5N9BW,1
GTEX-13FLW-1426-SM-5K7YE,1
GTEX-X88G-0426-SM-47JZ5,1
GTEX-R55G-0226-SM-48FEI,0
GTEX-113JC-1926-SM-5N9GE,0
GTEX-TSE9-1226-SM-4DXTM,0
GTEX-QDT8-0011-R5A-SM-32PKN,0
GTEX-12WSH-3026-SM-5CVNI,1
GTEX-ZF3C-0005-SM-4WWAR,0
GTEX-11NUK-0126-SM-5A5L3,1
GTEX-131YS-2426-SM-5J2OD,0
GTEX-13FHO-0011-R10b-SM-5J2MM,1
GTEX-13FHO-0011-R1b-SM-5KLZG,1
GTEX-X4EO-0326-SM-3P5YO,0
GTEX-11I78-1126-SM-5A5K5,0
GTEX-OIZH-3026-SM-3NB1G,1
GTEX-ZAB4-1226-SM-5CVN5,1
GTEX-13CF2-0011-R1a-SM-5LZY1,1
GTEX-144GL-0011-R7b-SM-5P9HX,1
GTEX-WK11-1026-SM-4OOS8,1
GTEX-ZF28-0011-R1a-SM-4WWD1,1
GTEX-X15G-0726-SM-4PQZ5,0
GTEX-145LS-0011-R3a-SM-5S2VJ,0
GTEX-1192X-2526-SM-59868,1
GTEX-11DXY-0008-SM-5QGR4,1
GTEX-13N1W-0626-SM-5MR4U,1
GTEX-PVOW-0008-SM-48TE8,1
GTEX-11UD2-1626-SM-5EQM3,1
GTEX-P44H-0011-R3A-SM-5SI8A,1
GTEX-1314G-0126-SM-5LZUL,1
GTEX-13FHP-1026-SM-5K7Y2,1
GTEX-13N2G-2326-SM-5J1ON,1
GTEX-1399U-0526-SM-5K7YM,0
GTEX-R55E-0006-SM-2TC5G,1
GTEX-ZYY3-3126-SM-5SI9L,0
GTEX-V1D1-0626-SM-4JBHN,1
GTEX-12ZZZ-3126-SM-5LZU6,1
GTEX-11ZTS-0126-SM-5EQ6M,0
GTEX-RWS6-0001-SM-3NMAL,0
GTEX-VUSG-0926-SM-5S2SV,1
GTEX-13NYS-0226-SM-5MR49,1
GTEX-OOBJ-3026-SM-3NB1D,1
GTEX-13FXS-0011-R1a-SM-5K7U6,1
GTEX-13O61-2526-SM-5J1O8,1
GTEX-WXYG-0926-SM-3NB2O,0
GTEX-ZDXO-0008-SM-4E3HR,1
GTEX-ZPU1-2426-SM-4WWFM,1
GTEX-T8EM-0826-SM-4DM76,1
GTEX-XLM4-0005-SM-5S2RY,1
GTEX-11ZUS-0126-SM-5EQM5,1
GTEX-PLZ4-0006-SM-5SI8L,0
GTEX-SUCS-1826-SM-32PM1,1
GTEX-X585-0226-SM-4QAS2,1
GTEX-11I78-1526-SM-5A5K7,0
GTEX-11ZU8-2626-SM-5EQLL,1
GTEX-1128S-2126-SM-5H12U,0
GTEX-1192W-0826-SM-5EGHE,1
GTEX-ZTTD-1726-SM-57WEL,1
GTEX-ZYFG-1726-SM-5GZZB,0
GTEX-12C56-0002-SM-5S2PC,1
GTEX-1269C-0226-SM-5EGKS,0
GTEX-WRHK-1026-SM-4MVOD,0
GTEX-ZDXO-0011-R8a-SM-4WWD7,1
GTEX-131XW-3126-SM-5LZUC,0
GTEX-QDT8-0011-R6A-SM-32PKI,0
GTEX-145MF-0526-SM-5LUA6,1
GTEX-11NUK-2726-SM-5A5MC,1
GTEX-QVJO-3126-SM-4R1KC,0
GTEX-145LV-1026-SM-5O9AE,1
GTEX-WFON-0926-SM-4LVMK,1
GTEX-13W3W-1126-SM-5L3DO,0
GTEX-13OVH-1826-SM-5K7YW,1
GTEX-X15G-1526-SM-4PQZM,0
GTEX-OXRN-0005-SM-2I5EU,1
GTEX-ZYFG-1226-SM-5GIC7,0
GTEX-P4QS-0426-SM-3NMCQ,1
GTEX-XUZC-1026-SM-4BOPY,0
GTEX-11P81-1026-SM-5GU54,0
GTEX-145MO-2426-SM-5NQ9W,1
GTEX-13U4I-2526-SM-5SI8Z,0
GTEX-Y8E4-1726-SM-5LU9G,1
GTEX-ZZPU-2726-SM-5NQ8O,0
GTEX-13FTW-1526-SM-5LZXC,1
GTEX-13OW6-0011-R10a-SM-5L3HE,1
GTEX-S3XE-1526-SM-4AD5A,1
GTEX-ZPIC-0926-SM-4WWFK,0
GTEX-ZA64-0626-SM-5HL9O,1
GTEX-132NY-0326-SM-5IJBL,1
GTEX-13OVL-1926-SM-5KM14,1
GTEX-139T4-0008-SM-5S2WF,0
GTEX-SIU7-0226-SM-4BRX2,1
GTEX-144GO-1326-SM-5Q5EL,1
GTEX-POMQ-2126-SM-2S1OJ,0
GTEX-ZDXO-0126-SM-5S2ND,1
GTEX-1399R-2426-SM-5IJFC,1
GTEX-13O3Q-0526-SM-5KM18,1
GTEX-13PVQ-1826-SM-5L3GU,1
GTEX-NPJ8-0011-R5a-SM-2HMJY,1
GTEX-12WSJ-1126-SM-5LZVJ,0
GTEX-PWCY-0526-SM-5P9HG,0
GTEX-11TTK-2726-SM-5GU58,0
GTEX-131XF-1926-SM-5DUW4,1
GTEX-ZLWG-0526-SM-4WWFB,0
GTEX-POYW-1226-SM-2XCEP,1
GTEX-U4B1-0006-SM-3DB8E,1
GTEX-1314G-1826-SM-5LZVA,1
GTEX-P44H-0011-R8A-SM-2XCEL,1
GTEX-13OVJ-0326-SM-5L3GL,0
GTEX-ZPIC-0005-SM-4WWEB,0
GTEX-14C38-2126-SM-5RQJO,1
GTEX-P4QS-0626-SM-3NMD1,1
GTEX-QEG5-1026-SM-4R1KT,1
GTEX-T2IS-2626-SM-32QPP,0
GTEX-XPT6-0326-SM-4B66V,1
GTEX-S3XE-1626-SM-3K2AJ,1
GTEX-ZVT4-1326-SM-5NQ8E,0
GTEX-12ZZW-0011-R7a-SM-5DUWC,1
GTEX-147F4-1326-SM-5LU9V,1
GTEX-12BJ1-0426-SM-5FQSO,1
GTEX-13FLW-0011-R7b-SM-5L3EZ,1
GTEX-11WQC-0008-SM-5SI6R,1
GTEX-WK11-0526-SM-3NB3O,1
GTEX-13SLX-0011-R2b-SM-5S2VP,0
GTEX-UTHO-0011-R10A-SM-3GIJQ,1
GTEX-QDT8-0011-R8A-SM-32PKE,0
GTEX-NPJ8-0007-SM-26GMF,1
GTEX-11P7K-1226-SM-5HL4X,1
GTEX-PSDG-1126-SM-2S1ON,1
GTEX-XUZC-0326-SM-4BOO8,0
GTEX-14BIL-0426-SM-5SIA3,1
GTEX-QDVN-0126-SM-4GIC9,1
GTEX-WYBS-1626-SM-4ONCA,0
GTEX-ZVT2-0726-SM-5GIER,0
GTEX-UTHO-0008-SM-4JBID,1
GTEX-WI4N-0626-SM-3TW8Z,0
GTEX-13W46-0926-SM-5LU3T,1
GTEX-RVPU-2426-SM-2XCAR,1
GTEX-1122O-1426-SM-5H11R,0
GTEX-12584-0011-R6a-SM-5NQ7C,1
GTEX-Y5V5-2126-SM-4WWFO,0
GTEX-14A5H-0006-SM-5O9AI,1
GTEX-VUSG-2726-SM-4KKZJ,1
GTEX-S4Z8-0926-SM-4AD6Q,1
GTEX-UJMC-0926-SM-4IHLK,1
GTEX-11UD2-1126-SM-5EQM6,1
GTEX-13X6K-2826-SM-5O9DS,0
GTEX-13OVG-2226-SM-5K7V8,1
GTEX-YF7O-1026-SM-5P9IP,1
GTEX-ZAB4-1126-SM-5HL86,1
GTEX-ZV7C-1526-SM-5NQ72,1
GTEX-Z93S-0011-R6b-SM-4RGNJ,1
GTEX-13OVI-2726-SM-5KM56,0
GTEX-PWO3-0011-R8A-SM-2I5GD,0
GTEX-XYKS-1226-SM-4BRVI,0
GTEX-QLQ7-1126-SM-4R1KN,1
GTEX-13O3P-0626-SM-5L3D5,1
GTEX-1399R-0926-SM-5J2N8,1
GTEX-1313W-3026-SM-5LZUZ,0
GTEX-1339X-1926-SM-5PNVP,1
GTEX-111FC-1126-SM-5GZWU,1
GTEX-ZYFD-2526-SM-5E45L,1
GTEX-YB5E-0426-SM-5IFHR,1
GTEX-WHSE-0526-SM-5GZZD,1
GTEX-14A5I-1026-SM-5Q5E3,0
GTEX-RNOR-0011-R1A-SM-5SI8F,0
GTEX-132AR-0826-SM-5EGK6,0
GTEX-13S86-2426-SM-5S2MX,1
GTEX-ZVT3-0426-SM-5GIDW,0
GTEX-13VXT-1526-SM-5LU3J,0
GTEX-WRHK-0826-SM-3MJFG,0
GTEX-139TU-0011-R5b-SM-5L3E1,1
GTEX-W5WG-2726-SM-4LMIC,0
GTEX-13O1R-1326-SM-5IJF5,1
GTEX-QVUS-0008-SM-447AY,0
GTEX-QV44-2226-SM-447A3,1
GTEX-ZQG8-2226-SM-5DUWD,0
GTEX-13VXT-1626-SM-5IJES,0
K-562-SM-5J2LX,0
GTEX-13O61-0005-SM-5O9AU,1
GTEX-11P82-1426-SM-5BC5L,1
GTEX-N7MT-0007-SM-3GACQ,0
GTEX-139D8-0326-SM-5IJCJ,0
GTEX-RWS6-2426-SM-2XCB9,0
GTEX-12ZZY-1426-SM-5N9EI,1
GTEX-OHPL-2426-SM-48TDN,0
GTEX-VJYA-0001-SM-3NMDJ,1
GTEX-ZYVF-2726-SM-5GID4,0
GTEX-NFK9-0726-SM-2HMJW,1
GTEX-X15G-0001-SM-4PQZV,0
GTEX-RUSQ-0226-SM-47JWT,1
GTEX-1399U-2226-SM-5KLZI,0
GTEX-13NZA-2526-SM-5IJFX,1
GTEX-14AS3-1726-SM-5RQJV,0
GTEX-ZP4G-1926-SM-57WDZ,0
GTEX-ZVZP-2026-SM-57WB3,1
GTEX-1122O-1826-SM-5EGIP,0
GTEX-1192X-3126-SM-5N9BY,1
GTEX-RN64-0526-SM-2TC5P,1
GTEX-WEY5-0001-SM-3P61Z,0
GTEX-SJXC-0008-SM-4DM7G,1
GTEX-ZLFU-2026-SM-4WWG2,1
GTEX-X5EB-0006-SM-46MV5,1
GTEX-ZAB4-2226-SM-5HL97,1
GTEX-PLZ4-0926-SM-2S1OI,0
GTEX-14BMV-3026-SM-5S2PQ,1
GTEX-ZEX8-0426-SM-4WWEN,1
GTEX-12BJ1-1926-SM-5HL9Z,1
GTEX-13FHP-0826-SM-5K7V5,1
GTEX-ZXG5-0926-SM-5NQ8H,1
GTEX-QVJO-1726-SM-2S1R3,0
