,sex
C00A300A-CD10-4C9D-8C94-3901AFE8406C,0
6B66F14C-7616-4DEC-A604-2168DBA50A1B,1
4B20567F-271D-4EBE-9904-7B81DDEE0047,0
86867779-C230-4EC7-BC6E-ED111DEAD561,1
AC72B666-4230-4AF6-8F08-74CB9BB701A7,0
7CE16815-B484-4B05-8301-7DC4E36AACB8,1
4A8F7D08-654E-4200-9B80-975D2ED0B205,1
EFA7715F-AA27-4C5C-88B2-0C6B838DE496,0
D35E3701-AF4E-4345-B4FE-BBB69802D389,1
438DC3F0-0C35-4DC7-B804-67D7DEA9A7FA,0
F3C293B9-BF9A-42F0-B44C-97E686E6AC34,1
839D7D71-2360-4D8B-A935-67EEBC2F92AE,0
B93811D6-F95F-4FC3-96DC-D4EDA78B1D35,0
CCF8CEFA-6676-4B41-A86E-AC0CBF30D2DD,0
07E4B4AA-6B2A-4ACF-A629-87E116DBC439,1
A06DA4D5-20AE-4F75-AEEE-10BA07B1E363,1
F86BCE61-6748-4F0D-B56A-C30BD71EB2FE,0
4B3F2CA0-A10A-42EE-AB47-E0904B4699EE,1
CD44A5FC-A723-4409-AE30-732ECF05AE1B,1
072ABE50-3E49-468E-9B02-08BFE7493C84,1
CF6AF5E1-ED9C-4CD2-8C29-5D002EF59B7D,0
1178A2BE-F075-4511-B657-5E497EC6BD5A,1
075CCD50-6508-4D3B-BD1F-F527813B816B,0
1D94D213-147D-478A-8E66-767D5C5B044D,0
572D8E48-AD79-4A97-97E6-5298DB50E8E3,0
BFB9D106-9A1C-465C-81A0-58C27CAF5338,0
EDA243D0-F431-4D60-B63D-B7923E50A8BE,1
A0AB2D28-6751-49C9-8DF4-66FDBF95C360,1
F6DBC40E-0AE2-453F-B1D5-1BB0453C19D4,1
EA794A00-74AF-43DF-AE30-6438E2F0B018,1
2F2A2314-198D-4F33-9B02-6522E728BB0F,0
65EF08AB-D276-4EC8-8FEB-E1CE6FC79469,1
12BA7BEF-7095-4F6F-A53B-E486A2C12717,1
29F75F5D-A4D9-420C-B1B2-57F228BE066E,1
C0C26822-2E9F-4FB0-81D4-575027C8B71C,0
1DE0552F-7E1D-407D-8414-AE16C7CC0B02,1
203691F1-8D53-4E50-8B64-56D2E0D04208,1
BC9DFF9D-B056-4740-819C-6EC39E3D7D5F,0
15EDF2DE-2AEB-4704-A97C-8D0CA47A926D,1
E6C74B82-B9D8-4D7C-96FB-50DFB80929D2,0
A9DEB7B8-AB76-497D-B55A-98F77C00FCFB,1
B56D29F2-ADF4-43B9-9013-071466244B4A,0
35181A54-6ABB-405F-8015-C3B2AE7FF4DA,1
92298FF7-1215-4756-B976-A7D88B91AD76,1
64594EA8-FAFB-4CC8-885A-3809A0022C9D,0
681D8638-84E1-43B9-93A9-3189560D8611,0
00439565-02CE-4BF5-956D-7078B51C0947,0
6500A6BF-F682-4522-8F7E-3F930EB69B1B,1
982F59C6-E338-49D3-937A-2ABACEBD0F8F,1
172944FC-5D14-491C-BD4A-F1EAAE96A38D,0
2A5848CC-A9A2-4AA8-A752-321273E62CF0,0
FEBD440E-8DCA-458B-AD23-4BEE81EE4871,1
39671341-D0D9-4AA9-94F1-1DC10254E91C,1
33580931-57FC-41D9-91B5-21EAE9BC0AF7,0
B507E82F-6680-497B-A014-033EDD7A2E03,0
39286936-7CC8-4045-9D84-8340D2A49CCA,0
F803AE18-60C5-4CFE-AAAB-DB33C26A2184,0
6B75E046-9F34-49D2-976E-B58CC2E09577,0
ED82D4D7-8CB4-4888-9AE7-49D5E0C3ABF1,0
B0825E4D-C5B6-4548-908D-7892E389DC76,1
F13FE591-142C-4CF6-B27E-F0E97D28B979,0
CEA9B8CE-7F51-486D-B345-ED0F88FAD976,0
665EFC06-88FE-4AAE-B645-C04A3FB95ACB,1
CD273289-C865-4902-801B-E32CA866EB4B,1
2D7A99F2-0D90-4A5F-9487-77A2631D8DA7,0
CA366342-0949-4941-8AE6-984BAF032886,1
CD9FB76F-6F1C-468E-86AE-8344CB3495F5,1
BE0FF70F-61AB-48F4-B883-FDB77EE262FE,0
0A3AB174-07D0-4396-A6C5-9ECEEBE8651C,1
A2792419-8E16-45FE-A524-17851F34AB9B,0
0D9269DD-B733-4F3F-93D4-58D6D51CFACE,0
6585A6A7-4CFA-4B05-B1ED-5F3EEC41436A,0
EA690C2B-7658-4F73-8F32-C75CFED80119,1
6238087F-24DD-4BF1-903F-3BD4E446C1AE,1
9BC72F77-4106-465C-A9D0-0446E112F218,0
AA24C4EE-E0EF-4EB9-82E7-00DDF9AF27BD,1
6BED52DE-E34F-4005-9309-623687DB481A,1
BA13DBB0-FDCB-49A3-9F5D-4C13CECBC34C,0
6588314E-69E9-44DC-B7D0-0966C1833608,0
83CAFA8C-E9DD-47E7-AAB3-EA054D15CFD6,0
87F8A33F-FBC3-469E-862B-84472F796358,1
191FE3D1-FEBF-4585-B6F4-263BFAD4DD7E,1
4CCDD956-AB6A-4D76-9912-FCFD3B2C8ED5,1
08D3F984-6850-45B2-9DF9-EC7F5A4060A4,1
AF9B58D8-D875-412B-99F5-1E7768C18080,0
B5EEA321-4E76-4FCC-831E-E03E9C5789D2,0
E5F01C2A-1DF7-4540-A533-252D31A2054C,1
3B4A0036-D92D-493D-9EFD-470CC3035E9E,0
AEECBFF3-1D5D-4DB7-930A-126A7BE423E0,1
2D84E0EC-31EE-418B-B275-84BF5D5EFEB5,1
DD11335A-68D6-4404-A792-93E08DEE7760,1
771434CA-23FF-4E0E-9DBA-EE7A127E255A,0
DCE7D1BE-F8A1-4DBA-8DA6-7A8148DFBFCE,0
73F40E4F-95D1-4DE3-A955-42132BEF02B7,1
4BE13F18-43C2-4B90-90EA-BAC3B995E8D9,1
0BDBBD67-9117-4C7C-8B3B-9463652DEA59,1
079572F0-9F70-4576-BFE3-5B886942D0A1,0
3948FBBB-9B5D-414B-B6F7-46208D614E0B,0
D868AC1A-11DB-4A07-BF2F-1429FA197F7B,0
D2ACADF8-4585-4DFD-BC22-57B76C78DEEF,0
08297C38-2AFF-4510-9A8D-48B5EF55EA01,0
BEB37A2D-E8B0-4674-89AC-DC0F34E0AFD6,1
C175E68E-632A-4B4A-9DDB-4895C4760F20,1
421C51E1-BA5F-4FFE-B4ED-39303113709B,0
38FCA0B0-4399-4061-99AA-B886F54CA0DB,0
2313E3C3-02E3-4CE4-960D-DBCF1065D42C,0
06C726FC-E014-4401-9D9B-E4E8164E0FA6,0
DDE42A96-FA27-40CA-8CD1-4A2DF94FD5A2,0
B8EE15BC-7B7E-43F7-892C-47B828A6E078,1
96C7C73E-F3E1-4937-A267-B7DAAD8EDE37,1
C3AEC49D-E7A2-4CFE-8F56-10578FE55294,1
051FBD9E-564F-4E17-851A-CF3980457DF9,0
97568F41-493B-4E3D-A2DF-5BD6540781C2,1
D61D077D-C4AE-464B-A5F7-362DA9C1FAAC,0
5B9DEC62-3DC7-4DE2-8B20-3E191594FCB4,1
5E6A1687-FB67-4C0A-9BB1-E692F686001E,1
B3BB4259-7644-4E17-9C4F-DB9FBA6470E6,0
D041C621-DB01-4B9E-93F4-45358EF3ED97,0
1BE1FA76-1939-4C83-8B87-BE91481AF483,1
EA8FAF8A-02F0-4E38-A9EF-929D300481B4,0
7A728862-43EB-4965-85D0-B92AF8DE1FE1,1
C650633B-A369-4657-8693-FDFBF22BD34E,0
4A25609A-BDC5-4FA6-9B67-CD030E4AB9BE,1
33F65AAA-DA4E-42E7-BB10-417D3C096107,1
39777F3A-0854-4C8E-9FF4-9A1369C4733D,1
A0E791AA-C7EE-4957-B0D9-97EC528A88AE,1
4D37D121-66C0-46C0-9A31-F0083837A238,1
66BE2B4A-B3C0-4882-B9AE-F3E1DD090579,1
06A9CBF8-01D0-4720-BCE8-83F0E77C862F,0
E4EFC6A1-F139-42AD-ACE3-79CB66804595,0
9AABE7F6-9EA3-41E9-B763-418BADA1CF4F,0
D07DD787-C4AC-4E10-B751-0543CB93C44F,1
2C2F376A-2AA7-4C45-9056-B612707C3FCF,0
877A720D-6399-4EF1-81CA-E9F65A6620DD,0
77FC6AFC-3176-429E-9306-8422B8C9722F,1
D925CAC2-BBC5-4160-9DC7-898C3FB28BE3,0
8EB58CDA-A523-45D0-B871-E648074D87EF,1
C7EF46B7-5B63-4BE7-9450-6B009D7EE9BD,0
543C5AAA-98A6-47C7-A959-34B7DB5C4BAE,0
D19F062F-26A0-4997-ABB8-D3D069278C2A,1
A97BCCF7-8162-4341-9F8C-7857FBDE7576,1
72781523-C5BA-4B54-8410-E238B5F441B4,1
4D9EF242-9F58-4681-ADCF-556E05932931,1
BDF8A5C4-E7FE-49E5-91A9-6AF6F8070ADC,0
FFDD7A12-DDEF-4974-8D60-64B7EEAAC994,1
0A770CD6-C9B1-4CC4-9E31-1F8A820C5C1F,0
170F08BD-DB7B-41A7-90FA-420DB0087CF8,0
89755EEA-6C2D-4014-9008-70D439E70DBC,1
0DCA5C84-6BFD-48CD-AF86-E2C52A034F4B,1
C638E896-3DB7-496F-AEE6-FB9030F4EEB5,0
1B940F72-3C90-43C4-9267-185F21D10AC9,1
5E10DA5D-9542-4B4A-9388-12D7BE89B688,0
9555E062-1ADA-4AF2-93F7-86332F05D702,1
F205F9FC-F2D5-4164-9A40-1279647F900B,1
FC752F34-F97E-46F5-AA5D-0AFDC584D706,1
95F20ABB-7B0F-42AC-82E2-3A64A4735E0E,1
3AEB6D14-5DBF-45D0-94CC-AE2B7D8FAA3A,0
0567FBCF-4E81-4E7D-9DB3-3E34820C9694,1
B6B3E954-4946-4DCC-97B7-BF8D53417BAF,1
F7CB1825-2303-4DD2-AE1F-7205738EAF1F,1
C4222F37-20C5-4E53-B9EE-6EE33DB7486A,1
21DE3A97-8B43-4078-8CC6-7C78D5AD93F4,1
84E4D7B5-8BBB-4E59-A7F6-8E14496FD76A,1
8556501D-640A-4681-B5FB-716DEC14F7BE,0
94BA97DF-AC94-463D-AD63-DF5B6C72863F,1
6070DB25-079C-4BFA-889D-E4E447CEEA70,0
E789661A-C027-405D-9F76-E6D52CE3018B,0
A3DBF047-C112-47D2-B192-87B2FD3C8694,0
19EA1494-8572-40E1-B9BB-3739F47B607D,0
C2C25CBF-4F7F-4A10-AA40-4A71C5A9557C,1
F931C145-86BF-4286-8017-A90943ABA1B6,1
D17E889C-8C03-4A92-9DA6-BF9D837F1F54,1
E8FC8C2C-A21B-42A3-8FA4-61EB51C53FC9,1
F5A64B5A-54BA-41A1-8CA2-75D27C5680D3,1
FD223304-87BA-4462-A5E5-01AB8C018C35,0
2B317F61-8B44-4E81-80DB-ABE7F978E4CE,0
62315297-B01F-4A7F-9C15-5B602099257F,0
428600DE-74FA-48E9-B229-83C7992C5649,0
1E9744FA-0F15-4D0F-9999-744259F3ED12,1
D33418BF-D085-4949-AA96-2F944B66F597,1
3D67B2B7-1A73-4516-8488-56EF9B70B652,1
8C3B9672-D44C-4DF4-9912-47F93F0A5C58,0
0E23C7F9-D54F-4A6B-B1DA-F28E09C9AB55,0
89C9B0EC-B1D7-44B4-84A9-34A0D5E14E0A,1
313B59FC-B5A4-47E7-8C1A-0099063D1CF3,1
C03F53F3-BE08-4A4B-B19A-D9A9DCB54ED4,0
177C7EF4-2D54-4555-947C-44EE7C688917,0
20EB9CC6-EABB-438A-9030-E766459996D1,0
F400FD4D-72D7-4933-B145-64B7EE245FFC,1
A548DB97-6D28-4DEA-8334-201093A67B1E,0
176C5101-10B5-4B9E-8ECE-8D07F68E7608,0
0269707B-3B84-4DBC-B734-F54A5174C7A2,1
9F77DB73-FE2A-4969-8DB8-6B95E7B6DFD7,1
22C7B2BE-F14E-48C8-8EBE-12B4DBC9DE3E,0
95118D2E-F239-4403-A19C-5F8BA2B25803,1
87B19BC9-9785-4DAD-A624-AD017E2CBD10,1
49071466-095E-4330-907B-68884B6D849F,0
2F6A0808-8F01-4721-938D-F1FC7C5D8357,0
6794CB9F-5326-4F57-B2E2-5D877C03F5D4,1
4FCE3F1A-D92E-48FA-9E33-B580DB1A7E83,1
9AAB9B0E-A77A-49E7-BF7D-D1F79F17B6B2,1
51E4BF0A-8083-44A8-904A-B160B797C4EB,0
0C5BFC71-79AE-4D50-BB9D-9C14A2CAF3FE,1
1739DA32-1AD3-4487-9C6F-3BB1C4C42AEA,1
D47AF416-1687-4FE0-A235-8815B6E8EB0B,0
254A9134-7D3D-4A21-AADE-C5AC69AA6F9A,0
DF73FB9F-70F7-493D-8DAE-05743BD551B8,1
816CFF9B-C10E-4265-844E-7D02F46F7EE5,1
CABF3F65-C489-4050-BAFE-64105B4DA9A0,1
8F8F725B-56DC-4941-87F3-F8CA4EFF0CDF,0
AE2B25DD-F8AE-4B1B-B40A-E1D6784D019C,1
55D1629D-30FD-49AA-88CE-EA3CA9B30A3F,0
A3660585-1EFB-4F37-B0C2-906E37EC20FD,0
F3050640-ACB4-45C9-9CFB-A7E82EEA1420,1
ED604501-C110-4693-820B-DE9FB648FEAA,1
293E6D35-8392-4C44-BC18-F917989516B0,1
EE16D845-31F2-4178-800B-CA2C358841AD,1
7D8B1B11-F576-4AA8-BFA7-0022A2CD829A,1
877E18A5-6A7A-4E29-9871-DC7EA14A5F27,0
D22198BE-2B03-4A06-9EB6-696B67E8CEFB,0
74707DAA-FE40-4D28-AD49-0D1C5465C253,0
FB9487F8-9E82-438D-B833-0F2432440EED,1
97073DEA-73AD-4DFD-BD1A-9035DC03445B,0
80B8D007-0061-46A1-A01D-1CA3C23D8DAD,1
C68A0A08-0C16-4B8A-9DA8-AF167AB1D67F,0
B5B29DA3-8AEC-498A-AB05-9FB6509ABEFB,0
AE261B5D-3881-40B9-8EE7-26B950E0BE16,0
15480C1E-4D9C-4FF7-B94A-717F19AFA786,0
DA930911-A326-413A-93E8-04453828AA7B,1
9D9A544B-9206-4E48-AD98-D5CC2B3B7124,1
7493CB4A-C641-42A4-9BE9-394F2AE9287D,0
B0C7C628-003D-4529-A9F2-435F7A2DA053,1
7E22D9F6-0812-47BA-B9A0-77873E566FE1,1
FA04B79A-FC43-4E9F-B515-1E7989CC78C2,0
B6BEFFB5-2F62-477B-A4C8-478D29577CBD,0
EDBF3D6C-29A5-4474-BF64-C1CF8AA24A2E,1
B40B9470-990D-4443-8484-17266E829557,1
8756589A-8352-4CDA-9297-D4C146D1DF47,0
A60DC925-7343-496E-900D-0DD81D5C8123,1
2E63B18E-FDC1-414C-9291-492D3D380232,0
83867921-8D7C-41AE-9292-010EECA0C186,1
371149D5-6A07-4DE4-87A1-EDCA516D7A52,1
33B4651E-E24C-4D44-AEA3-CF74BA9243A7,0
6FA15950-94D4-4D46-A0E5-45D899089443,0
9850FF42-592C-4406-A5B3-52109E0E4E70,1
DBC68065-BBF0-4D9E-B5C6-6BD9960EF915,0
9166F454-2068-46C2-B2EB-FB3BE4126536,1
67D36D8B-BCDE-4861-AF7C-97923CCCE939,0
DF9A87FE-7AF9-423F-B0C0-B746A512A226,1
330A1F11-F5D6-4651-AFD8-03843B50A7CF,0
4885697C-841E-4839-956F-CC050578F453,0
E00A1CA1-7ACD-4C20-9CCB-AA1DC87E9DC2,1
5B9D33F5-1B4F-4C06-A73A-CC723C1EF409,1
58098F21-7DAB-47DA-9A41-8D20BF3B9257,0
26AA5DD1-E805-4E3C-80DB-F4C04132D806,1
9709F7C5-4A89-49E5-9983-8D94EEFEC50D,0
F7C66216-32AD-49E8-AF01-C934896CCB5D,1
0F8369F0-A35F-4327-8F7E-CC089C899FC8,0
76BDA396-5015-4378-948D-4C0863DA8E8F,1
7CA30F3C-1C98-480C-B8B5-A248AABFB468,0
3027792F-79B6-4729-9452-C4A72A7C4686,1
9F204EEA-9026-4367-8586-C2127D55AC5E,0
5B40CBAE-77B5-4BB1-9749-2847ECEB3F27,0
2223BABC-8D59-45D6-8592-A6EB8BAC366B,1
6E0512BC-03E8-412A-8A99-55D5ADDD66A8,0
F06A1861-0B06-4EC3-8D5C-ABFA415AB745,1
6D09CAE7-F8BE-4B9D-8B78-5D8DDE663AC0,0
B365F0BA-CC62-4EBD-A34B-700D29AA0C6E,1
E5092C6E-894C-4FE7-8CCF-A74E23303E09,1
F38DF975-5D95-4993-9CEF-B775C6851B3E,0
9AC39CDD-4433-4055-8129-E83279E17451,0
BAD01F08-735C-414E-BA8B-45C4CF14E4D3,1
3460B92C-977B-4658-BC7F-FBBEC9A5332A,1
F28A5BF1-DE90-468E-9192-AAA281AA618E,0
2944109A-96B6-4607-8D09-291AA680A16D,0
46C7DDE5-A2B5-494F-96AE-0B6E2D51B003,1
C590B811-A42F-4ED2-896A-513EFD42D62D,0
AE3D63AA-E969-4B02-A082-9587CF49D98C,1
59705C6B-02F5-4E49-AE4C-F2510112FE67,0
D5041E80-20A0-4C1A-9AC1-2394F6DB6E92,0
E955E1D8-E432-42D4-909A-05DADBB6BFD4,1
825309CC-4841-4475-BF77-8250C5EEADD8,0
16E8C274-EA27-40FA-AEAE-C3EADD222400,1
293F530E-C875-4868-BEF0-474049A88644,1
33D74C0E-4DD2-47D3-AA85-A8928FF0E1A7,1
78F4F419-0C42-4853-B2B4-5D2D12F1CF89,1
1BFA2C76-884B-4BD0-B800-4E4E0918F183,0
8DE48310-7580-4C29-95FA-E109C55EB74C,1
F043185A-D4D2-4503-93FA-A7B7DA684290,1
7E2AE3E9-5D7B-4267-992A-9ACF29A848C6,1
E678189F-D5CF-4C45-8E53-58ECB8448058,1
4D2D0B6B-AE4D-415A-BFF9-DBBA752561A0,0
12FD1A04-8301-4E16-9182-7BAFD4CABAE0,1
B465060B-E6BE-452F-BC07-13EFE6C98ECA,0
51EB8800-9AA0-4160-AE4A-E00DD193894F,0
B89940B1-EDF8-420C-8B28-C7EA3E00B499,1
CC4AF04D-CB8E-40DD-B12E-7AA39B38262A,1
E87A1C3E-821D-446D-9AD9-030CDF758819,0
40278C92-2597-4258-B272-26E752443E51,1
3B458A9A-FD0B-47BF-81A3-77322ABF44C9,1
F2891ACE-F170-4DBF-B23E-A7CC21414786,0
1E09E7AE-B848-4B41-BD70-CA820F1FCA16,0
085F62FA-BECB-4BD9-8312-8208CACF2245,1
FBD43A48-C880-45FF-BB6A-08F922DE93B5,0
A08E2707-DDB0-40FE-828F-14720768FB05,1
5994AE74-BB0A-4D5F-BEA0-A0D81C1623A8,1
AE8E3884-06AA-439D-9DEF-B7D7699DCCD4,0
1CC36859-357A-49E0-A367-4F57D47288BA,1
D7381872-F807-4600-9102-08C064D97E4A,1
56BBED6E-8ADB-430B-A85C-D3773F929447,1
2DE004C4-A3D2-4F19-9604-3915FEAE1AE7,1
D56B45D0-D99C-4D53-B71E-B1E8AC4787FE,1
B686071B-268C-45A4-8C1F-379F2FF40491,1
EF73B80F-03EE-40C8-A1A4-CFB4D5062611,1
4D361EA8-1F79-4B89-841B-87F83215D805,0
EB187529-4F67-4C45-AB12-7652D31E5C03,0
F92A6AE9-7FD3-4058-A679-F1E779460AAF,0
C7C6FBAA-4A63-4B32-9B43-306F69E1867E,0
33297F72-1A43-4B62-B909-FB0EE7A8D04D,0
DD9D5964-3E96-4ACC-ACB2-D1AE5DE3BEE0,1
CE7A3262-C48A-43BF-941C-9D2482B9CACD,0
EA7C2F00-75AE-4952-80B9-0AABE71F5A10,0
1F87CAF7-FDDF-4C01-817A-361EADB9EAB4,0
B8C6ECFE-3F67-49B3-A732-DA7D30835873,1
23890A5E-F5DD-4F67-9A92-524CFD760E24,1
47740C2A-1CB0-48DE-AC91-668D26C3EDE3,1
CEA8617F-0E70-43DC-8075-CA4698661303,0
862D8DE4-0F24-427A-BAA8-B2F42E74D43D,1
462D26D7-2094-4B41-8C24-19A964C83840,1
6239D979-7AED-4751-A97A-A4DD628D9259,0
976507F2-192B-4095-920A-3014889CD617,0
252C3486-FBA8-4A82-AA02-480A88E0C508,0
4C9FCB99-177D-4A76-8E07-3AFAB6CCBBEB,0
D1017F74-3A39-4427-AF57-273E34247B49,0
FA5932B8-8AA3-4C38-9FAB-C35D8772974D,1
DD203D19-D635-4112-AF75-9724E0A64A0B,1
375FE390-434B-41D3-9029-84065B1D7B6F,1
1CA20860-4A2E-4D34-A479-5B56FACC2C0A,0
219A9B4A-C6EB-4D2A-AA44-FDB768AB3135,0
C513E546-E717-484E-86E6-7E3B76CBEAE3,1
75A41FFF-9376-4D8E-970C-250B39F51B87,1
5E4D0532-9407-4E5A-B733-F4A09079D911,0
DAF84798-FE3F-403C-B589-7F256AF752BE,1
285422FF-99C8-41D4-8C9B-DFE0A18CF657,0
0AFBD4B3-0326-4764-88C9-25CF5761DBBF,1
105881C5-555A-4C9A-BAA4-3241F1D0A0DF,1
A7D9F5B1-D8C2-440F-A0B7-8B5641C2DA66,1
9A2C9224-EC66-4560-B909-08144C67E00D,0
C6914B18-740F-46BF-A2AD-15474A9E95FD,0
016952D0-AE1B-4467-8250-FA799E757814,0
39E585E6-19F6-4767-BACF-1E7C73C1A1ED,1
800A4B35-24BD-45AB-90C6-663AA6166F81,0
5D370BF8-F4C8-4BA0-A0EA-BEE93CA627CA,1
4D145415-3538-4C9F-8514-D519F8655F07,1
80DFB314-F214-41C8-AD2E-C82B934F123B,1
7EE8F0CE-CDC9-40F9-A1DE-7F8140EC6D13,0
EA2DC457-9C74-4B9C-B3FA-5E72199B24A7,1
CBEFE77E-A0EB-457D-A145-763654236EBB,1
6D90549C-3B99-4DFC-996D-86211498A8C5,0
4C15BE7F-B855-4670-9E38-0A626527D981,1
C68E82D2-2BD3-41E9-92D7-D4C06E1953B2,1
0A7B187D-80F4-4CC7-AD85-F365D455DF6B,0
6A4C9D74-393A-41F4-B5ED-3B4797D00DDC,1
F56C26ED-9358-485B-8867-EBA1CAA4E2A7,1
82A7523D-02C1-4F75-956A-B95519DD7547,0
C4C7C112-555F-46D5-8D5D-411C7737A4C9,0
7418A9D3-1352-4101-A68B-CF9F9204D54F,1
E4B4D387-8583-4A94-B996-95BDF58DB6C1,0
3ABFD181-D762-485D-851E-FF51EE031F3C,1
020873C7-93D7-4EEA-B25F-60663417D9BB,0
F03405F8-125E-4B72-A3E0-5E1134322DDD,0
B2AD9EFE-14C4-40C1-B91B-D1F9AC6DFB28,0
ADF84FA0-E948-490F-9025-574CC71A93E9,1
02B85AB1-D681-4D13-AF5A-B9F32727A3DA,0
764D83F3-99AC-4190-B6F6-987821A1EAB2,1
77744579-17ED-499B-92FD-089789C44F8A,1
20B5FCF9-B5EB-4FE8-841F-7C9403B0995A,0
B8E080E7-C8A4-4E57-BB7A-6D8BD3B38658,1
514BCECF-4BCD-4082-A0AA-AE60CB84E45E,0
947659EE-D92A-4D41-AEBA-B1DB9000141D,1
59860A22-DCEA-4871-8799-6F91A5D9C88C,0
5FFEF93E-3421-44BC-95BE-CA07D2343CD9,0
93CEF7C9-5F0B-4422-A59A-54DFADA6EA9E,1
C7A75027-D49D-4D60-93A8-588487B5D690,0
F36A9525-230A-4B07-8EAC-CA7E03E991B1,0
F8F7598E-86E5-4DC9-A874-F4DDED490338,1
E00A399D-E6C3-439D-8E70-A7AD5DF5F5E2,0
6FC5AF1B-3F4B-49E3-A611-6DCAD85C363A,0
DDDCDF00-FB0A-477B-891B-2EE5E0C8F61E,0
81B60B5B-307F-4C3F-9508-CB1624D0925C,1
337BA735-8F64-4888-B32B-B93C7474BA83,0
9EF135A6-03A5-4DAE-8BA2-B74482321BA0,1
A451F278-5E83-4BC6-9B15-3AA2117B99B6,0
834E47CB-728C-4B15-99FE-62CA0838512B,0
25A5BC09-0D88-4385-87AF-997F9018522D,0
4C2CECF0-6451-402A-A240-2575BE56B586,0
990496A4-C4B9-491D-A344-74E87C20C3C4,0
33A7B81D-7ACF-4857-B009-9A5C39FD1B51,0
3DB28A6F-C3B3-4E71-BDCB-8F19F1599695,0
91E04630-B2A7-448E-8C80-580818C9D7E6,1
74AB828B-CD13-41C8-A14E-CE4370F2A180,0
9E7E4BB2-2F91-4217-A8F0-AA891F2944C6,1
9FDAD50C-CCF3-43A7-A63D-1153C04A821B,1
05CC46BF-2647-4AB2-A761-F0C068FFEB02,1
2F2D0BC0-A680-4AF6-B957-BE9AD2953454,1
23F34B20-F029-44F5-B3B5-06A74FC0FC9D,0
0B3C86BD-0D20-4408-9BE3-05658729505F,0
9780DC1A-76BA-4219-B09A-59C85287CF4E,0
D52CD6EF-111C-4B8F-8B57-0B55A4D33A04,0
05FE386B-0F67-44F5-9F3B-26E0FB3ECC69,1
E5489AA2-1A97-44E6-B4CF-3A2D8405CFBF,0
24EC55E6-BCFE-429C-B411-F40D50E723A5,0
D93C083A-6D17-4CC8-BA77-A1B5CF5B047F,1
3FFF89D9-02F5-4D49-8631-099562BF99C7,0
