,sample_type
GTEX-11GS4-2926-SM-5A5LF,TISSUE
GTEX-XPVG-0326-SM-4B653,TISSUE
GTEX-13PL6-0826-SM-5IJBI,TISSUE
GTEX-131YS-0326-SM-5PNYW,TISSUE
GTEX-S4P3-0926-SM-4AD54,TISSUE
GTEX-ZLV1-1826-SM-5FQU5,TISSUE
GTEX-NL3H-0011-R11A-SM-2I3E6,TISSUE
GTEX-146FH-1226-SM-5NQB6,TISSUE
GTEX-11WQK-2826-SM-5EQKH,TISSUE
GTEX-ZLWG-0826-SM-59888,TISSUE
GTEX-WFG7-0005-SM-3GIKM,TISSUE
GTEX-ZF3C-1126-SM-57WEG,TISSUE
GTEX-ZDYS-2426-SM-4WKGI,TISSUE
GTEX-YEC3-2526-SM-5CVLS,TISSUE
GTEX-XYKS-1826-SM-4E3JV,TISSUE
GTEX-YEC3-2526-101809-SM-5CVLT,TISSUE
GTEX-ZZPT-3026-SM-5GZXH,TISSUE
GTEX-11TT1-2626-SM-5EGL2,TISSUE
GTEX-13OVG-1626-SM-5J1NF,TISSUE
GTEX-139YR-1526-SM-5IFJ1,TISSUE
GTEX-111VG-2326-SM-5N9BK,TISSUE
GTEX-14C5O-1326-SM-5S2UW,TISSUE
GTEX-U8T8-0005-SM-3DB8F,TISSUE
GTEX-ZYT6-1226-SM-5E44Q,TISSUE
GTEX-XPVG-1326-SM-4B65P,TISSUE
GTEX-13CF2-2026-SM-5K7VI,TISSUE
GTEX-13D11-1926-SM-5IFGB,TISSUE
GTEX-N7MT-0011-R10A-SM-2I3E1,TISSUE
GTEX-11WQK-0326-SM-5EQL1,TISSUE
GTEX-11WQK-0008-SM-5SI6T,TISSUE
GTEX-11OF3-2626-SM-5GU7F,TISSUE
GTEX-13N1W-0426-SM-5MR46,TISSUE
GTEX-S341-1126-SM-4AD6T,TISSUE
GTEX-13U4I-2426-SM-5LU34,TISSUE
GTEX-13VXT-1426-SM-5LU4B,TISSUE
GTEX-WCDI-0426-SM-4GIAL,TISSUE
GTEX-ZTX8-0726-SM-59HL9,TISSUE
GTEX-S7SF-0226-SM-3K2BI,TISSUE
GTEX-13VXU-2726-SM-5LU4N,TISSUE
GTEX-12ZZZ-3126-SM-5LZU6,TISSUE
GTEX-132NY-0005-SM-5O9AC,TISSUE
GTEX-ZZPU-1426-SM-5GZZ6,TISSUE
GTEX-XOT4-0826-SM-4B66Y,TISSUE
GTEX-12WSK-0326-SM-5GCOJ,TISSUE
GTEX-11ZTS-1926-SM-5CVLA,TISSUE
GTEX-11EI6-0726-SM-59866,TISSUE
GTEX-1269C-3226-SM-5EGKT,TISSUE
GTEX-RU1J-0626-SM-4WAWY,TISSUE
GTEX-1313W-0006-SM-5O9B1,TISSUE
GTEX-11ZUS-2926-SM-5FQSL,TISSUE
GTEX-12ZZX-0011-R10b-SM-5DUWK,TISSUE
GTEX-11EM3-1826-SM-5A5KO,TISSUE
GTEX-11ZUS-2526-SM-59872,TISSUE
GTEX-Y114-0326-SM-4TT99,TISSUE
GTEX-13111-1626-SM-5EGJY,TISSUE
GTEX-13U4I-0426-SM-5LU4W,TISSUE
GTEX-12ZZW-0011-R10b-SM-5HL9X,TISSUE
GTEX-14ASI-0011-R6a-SM-5S2UZ,TISSUE
GTEX-PWCY-0526-SM-5PNU8,TISSUE
GTEX-11ILO-0426-SM-5HL4V,TISSUE
GTEX-WEY5-0826-SM-4LMIH,TISSUE
GTEX-145LV-2126-SM-5LU8N,TISSUE
GTEX-13PL6-2926-SM-5L3I2,TISSUE
GTEX-ZF2S-1326-SM-4WWAZ,TISSUE
GTEX-XBED-0226-SM-47JY8,TISSUE
GTEX-13O61-1526-SM-5KM3P,TISSUE
GTEX-13X6K-0226-SM-5QGPB,TISSUE
GTEX-133LE-1326-SM-5IFGO,TISSUE
GTEX-13NZ9-0126-SM-5K7XV,TISSUE
GTEX-11P81-0226-SM-5HL5M,TISSUE
GTEX-13PVQ-1026-SM-5KM3M,TISSUE
GTEX-ZXES-1426-SM-5NQ8S,TISSUE
GTEX-13N2G-0011-R2a-SM-5MR4Q,TISSUE
GTEX-RU1J-0526-SM-46MUT,TISSUE
GTEX-13O3P-0826-SM-5L3DH,TISSUE
GTEX-YEC3-1926-SM-5IFIT,TISSUE
GTEX-ZDTT-1226-SM-4WKG9,TISSUE
GTEX-U3ZG-0326-SM-47JXN,TISSUE
GTEX-ZA64-0426-SM-5HL96,TISSUE
GTEX-13X6H-0426-SM-5LU4E,TISSUE
GTEX-111CU-1326-SM-5NQ8L,TISSUE
K-562-SM-2S1OR,TISSUE
GTEX-X585-0426-SM-4E3JZ,TISSUE
GTEX-ZYWO-0526-SM-5E45I,TISSUE
GTEX-148VI-1626-SM-5SI6E,TISSUE
GTEX-13VXU-0726-SM-5J2O7,TISSUE
GTEX-11GS4-0626-SM-5A5LC,TISSUE
GTEX-111CU-0626-SM-5EGHL,TISSUE
GTEX-S4P3-0526-SM-4AD58,TISSUE
GTEX-WHPG-1526-SM-4M1ZK,TISSUE
GTEX-WEY5-0726-SM-4LMID,TISSUE
GTEX-ZAJG-3126-SM-5HL9J,TISSUE
GTEX-13N11-0626-SM-5J1OL,TISSUE
GTEX-RVPU-0011-R8A-SM-5SI8I,TISSUE
GTEX-11XUK-1326-SM-5EQM4,TISSUE
GTEX-SE5C-1226-SM-4BRWV,TISSUE
GTEX-RWSA-2426-SM-47JXR,TISSUE
GTEX-ZVT2-2126-SM-5NQ93,TISSUE
GTEX-X3Y1-1126-SM-4PQZ9,TISSUE
GTEX-12C56-0526-SM-5FQST,TISSUE
GTEX-VJYA-1826-SM-4KL1W,TISSUE
GTEX-13OVI-2526-SM-5KM4V,TISSUE
GTEX-QCQG-0526-SM-48U2A,TISSUE
GTEX-13OW8-1826-SM-5L3H1,TISSUE
GTEX-XK95-0005-SM-4AT4S,TISSUE
GTEX-QDT8-0008-SM-48U2F,TISSUE
GTEX-U8XE-1926-SM-3DB98,TISSUE
GTEX-12WS9-3026-SM-5EGIE,TISSUE
GTEX-11DXY-1626-SM-5H12L,TISSUE
GTEX-131XG-1026-SM-5GCMX,TISSUE
GTEX-ZF3C-2326-SM-5S2MZ,TISSUE
GTEX-13FH7-2026-SM-5IJCR,TISSUE
GTEX-WXYG-1026-SM-4ONCD,TISSUE
GTEX-WHWD-1826-SM-3LK6I,TISSUE
GTEX-RUSQ-0426-SM-47JWR,TISSUE
GTEX-U3ZH-0126-SM-4DXUK,TISSUE
GTEX-VUSG-2526-SM-4KL1V,TISSUE
GTEX-1399S-0826-SM-5KM23,TISSUE
GTEX-11ZUS-0011-R8a-SM-5BC73,TISSUE
GTEX-WYJK-0926-SM-4ONCF,TISSUE
GTEX-ZXG5-0011-R10a-SM-57WDD,TISSUE
GTEX-132NY-1126-SM-5PNVE,TISSUE
GTEX-WFG7-0526-SM-3GIKI,TISSUE
GTEX-ZF28-0011-R1a-SM-4WWD1,TISSUE
GTEX-13W3W-1826-SM-5IJDE,TISSUE
GTEX-11ZU8-1126-SM-5EQ5K,TISSUE
GTEX-U4B1-1026-SM-4DXT1,TISSUE
GTEX-139T6-0526-SM-5IJC9,TISSUE
K-562-SM-5GZZE,TISSUE
GTEX-13OVL-1326-SM-5IJCZ,TISSUE
GTEX-145MF-1526-SM-5LU95,TISSUE
GTEX-13OW6-0426-SM-5L3HM,TISSUE
GTEX-12ZZX-1126-SM-5EGKB,TISSUE
GTEX-11ONC-0008-SM-5S2MG,TISSUE
GTEX-1313W-0011-R5b-SM-5L3EP,TISSUE
GTEX-XYKS-0226-SM-4BRW3,TISSUE
GTEX-X8HC-0006-SM-46MV6,TISSUE
GTEX-ZAB5-1426-SM-5HL9D,TISSUE
GTEX-13JUV-3026-SM-5K7WX,TISSUE
GTEX-ZLFU-1726-SM-4WWBU,TISSUE
GTEX-11ILO-2026-SM-5N9CQ,TISSUE
GTEX-X3Y1-0008-SM-4PR12,TISSUE
GTEX-131XH-0011-R2b-SM-5DUVY,TISSUE
GTEX-Z93S-1726-SM-5HL8G,TISSUE
GTEX-ZDYS-0826-SM-4WWCR,TISSUE
GTEX-XBED-2026-SM-4AT5D,TISSUE
GTEX-ZYY3-1626-SM-5EGJF,TISSUE
GTEX-R53T-1526-SM-48FEK,TISSUE
GTEX-PW2O-1226-SM-48TCH,TISSUE
GTEX-PWO3-1526-SM-48TCM,TISSUE
GTEX-YB5K-0426-SM-5LUA4,TISSUE
GTEX-11DXZ-0126-SM-5EGGY,TISSUE
GTEX-ZPCL-1326-SM-57WFN,TISSUE
GTEX-TSE9-2526-SM-4DXUS,TISSUE
GTEX-PX3G-0826-SM-48TZS,TISSUE
GTEX-WYVS-0726-SM-4ONDO,TISSUE
GTEX-YJ8O-2626-SM-5HL8H,TISSUE
GTEX-11ZTT-2326-SM-5EQLG,TISSUE
GTEX-131XG-1226-SM-5EGH9,TISSUE
GTEX-13IVO-0011-R10a-SM-5LZY3,TISSUE
GTEX-ZDXO-0011-R7a-SM-4WWCU,TISSUE
GTEX-ZDTS-0001-SM-4WAXW,TISSUE
GTEX-ZYWO-2026-SM-5GIDA,TISSUE
GTEX-145LT-0926-SM-5LU9C,TISSUE
GTEX-145MO-1226-SM-5QGPC,TISSUE
GTEX-ZYT6-2826-SM-5GICX,TISSUE
GTEX-ZAB4-2226-SM-5HL97,TISSUE
GTEX-UJMC-0226-SM-4IHLH,TISSUE
GTEX-WFG8-0008-SM-4LVN6,TISSUE
GTEX-139YR-0926-SM-5LZYB,TISSUE
GTEX-TKQ2-0926-SM-4DXU5,TISSUE
GTEX-Y8DK-0011-R11A-SM-4SOK2,TISSUE
GTEX-U4B1-0826-SM-4DXTW,TISSUE
GTEX-11PRG-2026-SM-5GU5F,TISSUE
GTEX-12WSN-2326-SM-5DUVG,TISSUE
GTEX-XQ8I-0626-SM-4BOPT,TISSUE
K-562-SM-2S1RI,TISSUE
GTEX-13OVH-0011-R3a-SM-5KM49,TISSUE
GTEX-145MO-3126-SM-5S2RT,TISSUE
GTEX-13OW7-3026-SM-5L3GY,TISSUE
GTEX-13X6I-0526-SM-5QGP8,TISSUE
GTEX-131YS-0011-R4a-SM-5DUVL,TISSUE
GTEX-Q2AI-0226-SM-48U1D,TISSUE
GTEX-13SLX-3126-SM-5S2Q5,TISSUE
GTEX-13NZA-0011-R1b-SM-5LUAF,TISSUE
GTEX-147F4-1326-SM-5LU9V,TISSUE
GTEX-145MO-0426-SM-5QGP6,TISSUE
GTEX-131XF-1826-SM-5EGKG,TISSUE
GTEX-WYJK-1926-SM-4ONDP,TISSUE
GTEX-RU1J-0008-SM-46MV9,TISSUE
GTEX-12ZZX-1026-SM-5LZUW,TISSUE
GTEX-13111-1226-SM-5GCNC,TISSUE
GTEX-12ZZZ-2026-SM-5LZWJ,TISSUE
GTEX-146FQ-0526-SM-5LU9I,TISSUE
GTEX-111VG-0008-SM-5Q5BG,TISSUE
GTEX-ZEX8-1226-SM-5S2OK,TISSUE
GTEX-1122O-1126-SM-5NQ8X,TISSUE
GTEX-11DXZ-0326-SM-5EGH1,TISSUE
GTEX-1122O-0008-SM-5QGR2,TISSUE
GTEX-Y8DK-0011-R5B-SM-4RTW6,TISSUE
GTEX-XUW1-0326-SM-4BOOR,TISSUE
GTEX-XUJ4-1926-SM-4BOOV,TISSUE
GTEX-13S86-0126-SM-5S2PI,TISSUE
GTEX-13RTL-0011-R9a-SM-5Q5BR,TISSUE
GTEX-XUJ4-2026-SM-4BOOW,TISSUE
GTEX-OHPM-2626-SM-5SI7I,TISSUE
GTEX-X261-0008-SM-4PR11,TISSUE
GTEX-T5JC-0726-SM-4DM55,TISSUE
GTEX-N7MT-0126-SM-2D7VT,TISSUE
GTEX-ZDXO-1426-SM-4WKHG,TISSUE
GTEX-R3RS-1026-SM-3GADF,TISSUE
GTEX-Q2AG-0126-SM-2HMLB,TISSUE
GTEX-U3ZN-1426-SM-3DB87,TISSUE
GTEX-XXEK-1726-SM-5S2SR,TISSUE
GTEX-TSE9-0226-SM-3DB84,TISSUE
GTEX-NPJ8-0011-R1a-SM-33HCB,TISSUE
GTEX-S7SE-0008-SM-33HB1,TISSUE
GTEX-X4EP-0004-SM-4PQZX,TISSUE
GTEX-S4UY-0008-SM-3NM8H,TISSUE
GTEX-WL46-0011-R9A-SM-3MJFP,TISSUE
GTEX-QDT8-0011-R2A-SM-32PKQ,TISSUE
GTEX-13OW5-0011-R6b-SM-5O9BW,TISSUE
GTEX-V955-0426-SM-3GAEL,TISSUE
GTEX-YECK-0426-SM-4W1Z5,TISSUE
GTEX-T6MN-0011-R10A-SM-32QP7,TISSUE
GTEX-WHSE-0011-R1A-SM-3P5ZK,TISSUE
GTEX-QDVN-1026-SM-48TZA,TISSUE
GTEX-TSE9-0126-SM-3DB83,TISSUE
GTEX-Y5V5-2526-SM-4VBQ4,TISSUE
GTEX-S33H-1126-SM-2XCB6,TISSUE
GTEX-N7MS-0011-R5a-SM-2HMK8,TISSUE
GTEX-13OW6-0011-R5a-SM-5O9BK,TISSUE
GTEX-P4PP-1426-SM-3NM9L,TISSUE
GTEX-P44H-1026-SM-3NM96,TISSUE
GTEX-OOBK-0425-SM-3LK5O,TISSUE
GTEX-YFC4-2626-SM-5P9FQ,TISSUE
GTEX-PLZ6-0726-SM-3P619,TISSUE
GTEX-PVOW-0726-SM-2XCF5,TISSUE
GTEX-TML8-1826-SM-32QOR,TISSUE
GTEX-WFON-0001-SM-3P61W,TISSUE
GTEX-P78B-1126-SM-3P615,TISSUE
GTEX-ZYVF-1626-SM-5N9EH,TISSUE
GTEX-11GSO-0005-SM-5O9CA,TISSUE
GTEX-WHPG-2326-SM-3NMBP,TISSUE
GTEX-ZVE2-0006-SM-51MRW,TISSUE
GTEX-X4XX-3026-SM-3NMB2,TISSUE
GTEX-WK11-2726-SM-3NMAQ,TISSUE
GTEX-P44H-0011-R1A-SM-3NM8J,TISSUE
GTEX-Y8E4-1926-SM-4VBPW,TISSUE
GTEX-RU1J-1926-SM-2TF6S,TISSUE
GTEX-ZVTK-0003-SM-51MRV,TISSUE
GTEX-OXRO-0011-R2A-SM-3NB1W,TISSUE
GTEX-RWSA-0626-SM-2XCBD,TISSUE
GTEX-Y9LG-1726-SM-4VBQE,TISSUE
GTEX-13PDP-0011-R8b-SM-5O9CS,TISSUE
GTEX-OHPK-2626-SM-2HMK9,TISSUE
GTEX-WI4N-0726-SM-3TW93,TISSUE
GTEX-13S7M-0011-R7a-SM-5O9DK,TISSUE
GTEX-NPJ8-1226-SM-3MJHM,TISSUE
GTEX-11ZUS-2126-SM-5N9E6,TISSUE
GTEX-145MI-0011-R11a-SM-5P9JZ,TISSUE
GTEX-XOTO-2926-SM-4B65G,TISSUE
GTEX-13QJ3-0726-SM-5SI68,TISSUE
GTEX-OHPK-0008-SM-4E3JL,TISSUE
GTEX-WHPG-1026-SM-3NMBA,TISSUE
GTEX-Q2AI-1426-SM-2S1P5,TISSUE
GTEX-SUCS-1826-SM-32PM1,TISSUE
GTEX-13N2G-0826-SM-5IJE6,TISSUE
GTEX-1122O-0003-SM-5Q5DL,TISSUE
GTEX-X261-0011-R11A-SM-4E3JY,TISSUE
GTEX-PLZ6-0426-SM-5IFK2,TISSUE
GTEX-OHPN-2826-SM-3LK67,TISSUE
GTEX-13PL7-1926-SM-5J1MM,TISSUE
GTEX-131XF-0926-SM-5BC69,TISSUE
GTEX-P44G-0011-R10A-SM-2I3FF,TISSUE
GTEX-TML8-0526-SM-32QOQ,TISSUE
GTEX-ZPIC-0002-SM-4WWEC,TISSUE
GTEX-13VXT-0526-SM-5SI9O,TISSUE
GTEX-ZDTT-1326-SM-4WKFH,TISSUE
GTEX-ZPIC-0005-SM-4WWEB,TISSUE
GTEX-SIU8-0626-SM-2XCDN,TISSUE
GTEX-Y9LG-1126-SM-4VBQ7,TISSUE
GTEX-W5WG-1926-SM-4KKZK,TISSUE
GTEX-X62O-0226-SM-4E3JB,TISSUE
GTEX-Y5V6-0008-SM-4V6FV,TISSUE
GTEX-YB5E-0326-SM-5IFHU,TISSUE
GTEX-N7MT-0011-R6a-SM-2I3G3,TISSUE
GTEX-14BIN-0011-R10a-SM-5S2UA,TISSUE
GTEX-VJYA-1426-SM-4KL1Y,TISSUE
GTEX-139D8-2526-SM-5N9G3,TISSUE
GTEX-1192W-0005-SM-5NQBQ,TISSUE
GTEX-Y3IK-1726-SM-4YCCR,TISSUE
GTEX-144GN-2126-SM-5O99D,TISSUE
GTEX-REY6-1026-SM-2TF4Y,TISSUE
GTEX-RU72-1226-SM-2TF6N,TISSUE
GTEX-13N11-0826-SM-5IJFP,TISSUE
GTEX-ZYVF-1026-SM-5E44V,TISSUE
GTEX-139TU-1926-SM-5J2OC,TISSUE
GTEX-11EMC-0826-SM-59862,TISSUE
GTEX-ZAB4-0226-SM-5N9F5,TISSUE
GTEX-13SLW-0011-R5b-SM-5SI6Z,TISSUE
GTEX-Y114-1126-SM-4TT7V,TISSUE
GTEX-13OVL-0011-R9a-SM-5P9GX,TISSUE
GTEX-11ZVC-0526-SM-5N9G1,TISSUE
GTEX-OHPL-0126-SM-2HMJ7,TISSUE
GTEX-14ASI-0011-R8b-SM-5S2UB,TISSUE
GTEX-T5JC-2326-SM-32PMR,TISSUE
GTEX-13OW5-3126-SM-5MR3Y,TISSUE
GTEX-RU72-0326-SM-2TF5T,TISSUE
GTEX-11GSP-3226-SM-5986O,TISSUE
GTEX-ZVZP-2726-SM-5GZXZ,TISSUE
GTEX-12BJ1-2126-SM-5BC5O,TISSUE
GTEX-Y3IK-2226-SM-4YCD4,TISSUE
GTEX-13OVL-1426-SM-5IJC1,TISSUE
GTEX-11P81-1626-SM-5BC52,TISSUE
GTEX-11NUK-0826-SM-5HL4U,TISSUE
GTEX-145LT-0626-SM-5O99E,TISSUE
GTEX-145MF-2626-SM-5O98S,TISSUE
GTEX-117YW-2226-SM-5N9DB,TISSUE
GTEX-131XH-0006-SM-5O98V,TISSUE
GTEX-YECK-1726-SM-5IFI3,TISSUE
GTEX-11DXY-0126-SM-5H11Q,TISSUE
GTEX-13FHO-0326-SM-5IJBH,TISSUE
GTEX-11EM3-0726-SM-5GZZM,TISSUE
GTEX-111YS-1926-SM-5GICC,TISSUE
GTEX-11GSP-0126-SM-5A5KU,TISSUE
GTEX-11EQ9-2226-SM-5987H,TISSUE
GTEX-13W46-1226-SM-5SIAS,TISSUE
GTEX-11GSO-0011-R2a-SM-57WDF,TISSUE
GTEX-11WQC-0011-R5a-SM-5BC74,TISSUE
GTEX-12C56-2026-SM-5FQSI,TISSUE
GTEX-OOBK-0126-SM-2YUND,TISSUE
GTEX-11EI6-2826-SM-5H11D,TISSUE
GTEX-ZDXO-0226-SM-4WKH7,TISSUE
GTEX-12WSG-1026-SM-5EGII,TISSUE
GTEX-PX3G-1626-SM-2S1PT,TISSUE
GTEX-ZTSS-2026-SM-5987K,TISSUE
GTEX-13NZ8-0926-SM-5MR3U,TISSUE
GTEX-11EMC-0526-SM-5EGJN,TISSUE
GTEX-ZVZP-1726-SM-5GZWY,TISSUE
GTEX-139T8-0426-SM-5K7VC,TISSUE
GTEX-11ZUS-0626-SM-59885,TISSUE
GTEX-11DXW-0826-SM-5H118,TISSUE
GTEX-13U4I-2526-SM-5SI8Z,TISSUE
GTEX-ZF28-3026-SM-4WKHP,TISSUE
GTEX-11O72-2826-SM-5HL6W,TISSUE
GTEX-145ME-1526-SM-5Q5F2,TISSUE
GTEX-PWN1-2626-SM-2I3FH,TISSUE
GTEX-ZE9C-2126-SM-4WKGY,TISSUE
GTEX-XBEW-1726-SM-4RGMA,TISSUE
GTEX-145ME-0926-SM-5O9AR,TISSUE
GTEX-ZVT3-1426-SM-59HLP,TISSUE
GTEX-13OW8-2926-SM-5L3FV,TISSUE
GTEX-13IVO-0011-R3b-SM-5IJBJ,TISSUE
GTEX-QVJO-0006-SM-2S1RC,TISSUE
GTEX-U3ZN-0826-SM-4DXSZ,TISSUE
GTEX-111YS-0126-SM-5987T,TISSUE
GTEX-11ZTS-0826-SM-5EQ49,TISSUE
GTEX-OHPN-0011-R10A-SM-5S2U3,TISSUE
GTEX-146FR-0126-SM-5Q5F3,TISSUE
GTEX-1212Z-0526-SM-5FQSQ,TISSUE
GTEX-ZF2S-1926-SM-4WWAN,TISSUE
GTEX-13W46-0526-SM-5IJBD,TISSUE
GTEX-13FTX-0626-SM-5J2NS,TISSUE
GTEX-P78B-1626-SM-2S1O1,TISSUE
GTEX-131YS-3126-SM-5KLYT,TISSUE
GTEX-PWN1-0226-SM-5SI7O,TISSUE
GTEX-WL46-0726-SM-3LK5Z,TISSUE
GTEX-1269C-0626-SM-5FQSS,TISSUE
GTEX-QDVN-1626-SM-48TZC,TISSUE
GTEX-145MN-1526-SM-5SI9T,TISSUE
GTEX-ZT9W-2226-SM-57WFU,TISSUE
GTEX-ZDTS-1026-SM-4WAXS,TISSUE
GTEX-13PL7-2726-SM-5L3GB,TISSUE
GTEX-ZVTK-0126-SM-57WDG,TISSUE
GTEX-PWOO-2226-SM-2S1P1,TISSUE
GTEX-TKQ2-0008-SM-4DM5L,TISSUE
GTEX-12ZZX-0626-SM-5EQ46,TISSUE
GTEX-1399U-1326-SM-5IJET,TISSUE
GTEX-ZLV1-0526-SM-4WWD4,TISSUE
GTEX-1122O-1326-SM-5H11F,TISSUE
GTEX-14AS3-0126-SM-5Q5F4,TISSUE
GTEX-1399Q-1126-SM-5P9JA,TISSUE
